Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Virtual Fluorescence Translation for Biological Tissue by Conditional Generative Adversarial Network","Phenomics","","3","4","10.1007/s43657-023-00094-1","Xin LiuBoyi LiChengcheng LiuDean Ta","2023","http://link.springer.com/article/10.1007/s43657-023-00094-1","Article"
"Presence of Rare Variants is Associated with Poorer Survival in Chinese Patients with Amyotrophic Lateral Sclerosis","Phenomics","","3","2","10.1007/s43657-022-00093-8","Siqi DongXianhong YinKun WangWenbo YangJiatong LiYi WangYanni ZhouXiaoni LiuJiucun WangXiangjun Chen","2023","http://link.springer.com/article/10.1007/s43657-022-00093-8","Article"
"Phenotypes of Cardiovascular Diseases: Current Status and Future Perspectives","Phenomics","","1","5","10.1007/s43657-021-00022-1","Hang ZhangXiumeng HuaJiangping Song","2021","http://link.springer.com/article/10.1007/s43657-021-00022-1","Article"
"Recent Advances in Understanding of Alzheimer’s Disease Progression Through Mass Spectrometry-Based Metabolomics","Phenomics","","2","1","10.1007/s43657-021-00036-9","Jericha MillLingjun Li","2022","http://link.springer.com/article/10.1007/s43657-021-00036-9","Article"
"Report on the 3rd Board Meeting of the International Human Phenome Consortium","Phenomics","","3","1","10.1007/s43657-022-00065-y","Mei TianHan LiuShunling ChenZhong YangWeishuo TaoShiwen PengHuiting CheLi Jin","2023","http://link.springer.com/article/10.1007/s43657-022-00065-y","Article"
"DBLiPro: A Database for Lipids and Proteins in Human Lipid Metabolism","Phenomics","","3","4","10.1007/s43657-023-00099-w","Qian WuYuanyuan HuangXiangya KongBen JiaXiaoting LuYunqin ChenZechi HuangYuan-Yuan LiWentao Dai","2023","http://link.springer.com/article/10.1007/s43657-023-00099-w","Article"
"Immune-Ageing Evaluation of Peripheral T and NK Lymphocyte Subsets in Chinese Healthy Adults","Phenomics","","3","4","10.1007/s43657-023-00106-0","Zhenghu JiaZhiyao RenDongmei YeJiawei LiYan XuHui LiuZiyu MengChengmao YangXiaqi ChenXinru MaoXueli LuoZhe YangLina MaAnyi DengYafang LiBingyu Han","2023","http://link.springer.com/article/10.1007/s43657-023-00106-0","Article"
"Phenomic Studies on Diseases: Potential and Challenges","Phenomics","","3","3","10.1007/s43657-022-00089-4","Weihai Ying","2023","http://link.springer.com/article/10.1007/s43657-022-00089-4","Article"
"Mental Calculation Drives Reliable and Weak Distant Connectivity While Music Listening Induces Dense Local Connectivity","Phenomics","","1","6","10.1007/s43657-021-00027-w","Gaoxing ZhengYuzhu LiXiaoying QiWei ZhangYuguo Yu","2021","http://link.springer.com/article/10.1007/s43657-021-00027-w","Article"
"Effect of Light on Cognitive Function During a Stroop Task Using Functional Near-Infrared Spectroscopy","Phenomics","","1","2","10.1007/s43657-021-00010-5","Yafei YuanGuanghao LiHaoran RenWei Chen","2021","http://link.springer.com/article/10.1007/s43657-021-00010-5","Article"
"Unraveling the Dynamic Integration of Auxin, Brassinosteroid and Gibberellin in Early Shade-Induced Hypocotyl Elongation","Phenomics","","2","2","10.1007/s43657-022-00044-3","Sha HuangChuanwei YangLin Li","2022","http://link.springer.com/article/10.1007/s43657-022-00044-3","Article"
"Causal Association of Cardiac Function by Magnetic Resonance Imaging with Frailty Index: A Mendelian Randomization Study","Phenomics","","2","6","10.1007/s43657-022-00072-z","Hui ZhangMeng HaoZixin HuYi LiXiaoxi HuXiaoyan JiangZuyun LiuXuehui SunXiaofeng Wang","2022","http://link.springer.com/article/10.1007/s43657-022-00072-z","Article"
"Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning","Phenomics","","2","4","10.1007/s43657-022-00063-0","Yu FanJinxi LiShaoying SongHaiguo ZhangSijia WangGuangtao Zhai","2022","http://link.springer.com/article/10.1007/s43657-022-00063-0","Article"
"Dopaminergic Dysfunction and Glucose Metabolism Characteristics in Parkin-Induced Early-Onset Parkinson’s Disease Compared to Genetically Undetermined Early-Onset Parkinson’s Disease","Phenomics","","3","1","10.1007/s43657-022-00077-8","Feng-Tao LiuJia-Ying LuYi-Min SunLing LiYu-Jie YangJue ZhaoJing-Jie GePing WuJie-Hui JiangJian-Jun WuChuan-Tao ZuoJian Wang","2023","http://link.springer.com/article/10.1007/s43657-022-00077-8","Article"
"Using Composite Phenotypes to Reveal Hidden Physiological Heterogeneity in High-Altitude Acclimatization in a Chinese Han Longitudinal Cohort","Phenomics","","1","1","10.1007/s43657-020-00005-8","Yi LiYanyun MaKun WangMenghan ZhangYi WangXiaoyu LiuMeng HaoXianhong YinMeng LiangHui ZhangXiaofeng WangXingdong ChenYao ZhangWenyuan DuanLongli KangBin Qiao","2021","http://link.springer.com/article/10.1007/s43657-020-00005-8","Article"
"Auxiliary Diagnosis of Papillary Thyroid Carcinoma Based on Spectral Phenotype","Phenomics","","","","10.1007/s43657-023-00113-1","Bailiang ZhaoYan WangMenghan HuYue WuJiannan LiuQingli LiMin DaiWendell Q. SunGuangtao Zhai","2023","http://link.springer.com/article/10.1007/s43657-023-00113-1","Article"
"Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker","Phenomics","","2","1","10.1007/s43657-021-00034-x","Baocai GaoXiangnan LiShujie LiSen WangJiaxue WuJixi Li","2022","http://link.springer.com/article/10.1007/s43657-021-00034-x","Article"
"Global Quantitative Proteomics Analysis Reveals the Downstream Signaling Networks of Msx1 and Msx2 in Myoblast Differentiation","Phenomics","","2","3","10.1007/s43657-022-00049-y","Guoqiang ZhouShuangping MaMing YangYenan Yang","2022","http://link.springer.com/article/10.1007/s43657-022-00049-y","Article"
"Diurnal Circadian Lighting Accumulation Model: A Predictor of the Human Circadian Phase Shift Phenotype","Phenomics","","2","1","10.1007/s43657-021-00039-6","Dandan HouCaixin LinYandan Lin","2022","http://link.springer.com/article/10.1007/s43657-021-00039-6","Article"
"Deep Clinical Phenotyping of Parkinson’s Disease: Towards a New Era of Research and Clinical Care","Phenomics","","2","5","10.1007/s43657-022-00051-4","Zhiheng XuBo ShenYilin TangJianjun WuJian Wang","2022","http://link.springer.com/article/10.1007/s43657-022-00051-4","Article"
"Large-Scale Proteomics Data Reveal Integrated Prognosis-Related Protein Signatures and Role of SMAD4 and RAD50 in Prognosis and Immune Infiltrations of Prostate Cancer Microenvironment","Phenomics","","2","6","10.1007/s43657-022-00070-1","Aihetaimujiang AnwaierShu-Xuan ZhuXi TianWen-Hao XuYue WangMaierdan PalihatiWei-Yue WangGuo-Hai ShiYuan-Yuan QuHai-Liang ZhangDing-Wei Ye","2022","http://link.springer.com/article/10.1007/s43657-022-00070-1","Article"
"Mycobacteriaceae Phenome Atlas (MPA): A Standardized Atlas for the Mycobacteriaceae Phenome Based on Heterogeneous Sources","Phenomics","","","","10.1007/s43657-023-00101-5","Wan LiuHui CenZhile WuHaokui ZhouShuo ChenXilan YangGuoping ZhaoGuoqing Zhang","2023","http://link.springer.com/article/10.1007/s43657-023-00101-5","Article"
"In Silico Pipeline to Identify Tumor-Specific Antigens for Cancer Immunotherapy Using Exome Sequencing Data","Phenomics","","3","2","10.1007/s43657-022-00084-9","Diego Morazán-FernándezJavier MoraJose Arturo Molina-Mora","2023","http://link.springer.com/article/10.1007/s43657-022-00084-9","Article"
"Random Penetrance of Mutations Among Individuals: A New Type of Genetic Drift in Molecular Evolution","Phenomics","","1","3","10.1007/s43657-021-00013-2","Xun Gu","2021","http://link.springer.com/article/10.1007/s43657-021-00013-2","Article"
"Optical Imaging of Epigenetic Modifications in Cancer: A Systematic Review","Phenomics","","2","2","10.1007/s43657-021-00041-y","Yang DuPei ZhangWei LiuJie Tian","2022","http://link.springer.com/article/10.1007/s43657-021-00041-y","Article"
"A Hashing-Based Framework for Enhancing Cluster Delineation of High-Dimensional Single-Cell Profiles","Phenomics","","2","5","10.1007/s43657-022-00056-z","Xiao LiuTing ZhangZiyang TanAntony R. WardenShanhe LiEdwin CheungXianting Ding","2022","http://link.springer.com/article/10.1007/s43657-022-00056-z","Article"
"Basic Phenotyping of Male Fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University","Phenomics","","2","3","10.1007/s43657-022-00047-0","Yadong LiCan SunHaitao MaHong ZhuFeng ZhangFeng Jiang","2022","http://link.springer.com/article/10.1007/s43657-022-00047-0","Article"
"Proteomic Portrait of Human Lymphoma Reveals Protein Molecular Fingerprint of Disease Specific Subtypes and Progression","Phenomics","","3","2","10.1007/s43657-022-00075-w","Xin KuJinghan WangHaikuo LiChen MengFang YuWenjuan YuZhongqi LiZiqi ZhouCan ZhangYing HuaWei YanJie Jin","2023","http://link.springer.com/article/10.1007/s43657-022-00075-w","Article"
"Recommendation for Cardiac Magnetic Resonance Imaging-Based Phenotypic Study: Imaging Part","Phenomics","","1","4","10.1007/s43657-021-00018-x","Chengyan WangYan LiJun LvJianhua JinXumei HuXutong KuangWeibo ChenHe Wang","2021","http://link.springer.com/article/10.1007/s43657-021-00018-x","Article"
"The Ultrafast and Accurate Mapping Algorithm FANSe3: Mapping a Human Whole-Genome Sequencing Dataset Within 30 Minutes","Phenomics","","1","1","10.1007/s43657-020-00008-5","Gong ZhangYongjian ZhangJingjie Jin","2021","http://link.springer.com/article/10.1007/s43657-020-00008-5","Article"
"Molecular Phenomic Approaches to Deconvolving the Systemic Effects of SARS-CoV-2 Infection and Post-acute COVID-19 Syndrome","Phenomics","","1","4","10.1007/s43657-021-00020-3","Jeremy K. Nicholson","2021","http://link.springer.com/article/10.1007/s43657-021-00020-3","Article"
"Biomarkers and Disease Trajectories Influencing Women’s Health: Results from the UK Biobank Cohort","Phenomics","","2","3","10.1007/s43657-022-00054-1","Haomin YangYudi PawitanFang FangKamila CzeneWeimin Ye","2022","http://link.springer.com/article/10.1007/s43657-022-00054-1","Article"
"A Genome-Wide Association Study for Susceptibility to Axial Length in Highly Myopic Eyes","Phenomics","","3","3","10.1007/s43657-022-00082-x","Qiang LuYu DuYe ZhangYuxi ChenHao LiWenwen HeYating TangZhennan ZhaoYinglei ZhangJihong WuXiangjia ZhuYi Lu","2023","http://link.springer.com/article/10.1007/s43657-022-00082-x","Article"
"International Nuclear Medicine Consensus on the Clinical Use of Amyloid Positron Emission Tomography in Alzheimer’s Disease","Phenomics","","3","4","10.1007/s43657-022-00068-9","Mei TianChuantao ZuoAli Cahid CivelekIgnasi CarrioYasuyoshi WatanabeKeon Wook KangKoji MurakamiValentina GaribottoJohn O. PriorHenryk BarthelYihui GuanJiaying LuRui ZhouChentao JinShuang WuXiaohui Zhang","2023","http://link.springer.com/article/10.1007/s43657-022-00068-9","Article"
"Sample Collection, DNA Extraction, and Library Construction Protocols of the Human Microbiome Studies in the International Human Phenome Project","Phenomics","","3","3","10.1007/s43657-023-00097-y","Yetong WangRuyi ZhangYanni PuDanqi WangYanren WangXuemei WuYujie PanChen LuoGuoping ZhaoZhexue QuanYan Zheng","2023","http://link.springer.com/article/10.1007/s43657-023-00097-y","Article"
"A Protocol for Digitalized Collection of Traditional Chinese Medicine (TCM) Pulse Information Using Bionic Pulse Diagnosis Equipment","Phenomics","","","","10.1007/s43657-023-00104-2","Xing ZhuFanyu WangJian MaoYulin HuangPeng ZhouJingjing Luo","2023","http://link.springer.com/article/10.1007/s43657-023-00104-2","Article"
"Deep Learning-Assisted Quantitative Susceptibility Mapping as a Tool for Grading and Molecular Subtyping of Gliomas","Phenomics","","3","3","10.1007/s43657-022-00087-6","Wenting RuiShengjie ZhangHuidong ShiYaru ShengFengping ZhuYiDi YaoXiang ChenHaixia ChengYong ZhangAbabikere AiliZhenwei YaoXiao-Yong ZhangYan Ren","2023","http://link.springer.com/article/10.1007/s43657-022-00087-6","Article"
"Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification","Phenomics","","1","6","10.1007/s43657-021-00025-y","Yiming LeiJunping ZhangHongming Shan","2021","http://link.springer.com/article/10.1007/s43657-021-00025-y","Article"
"De Novo Dissecting the Three-Dimensional Facial Morphology of 2379 Han Chinese Individuals","Phenomics","","","","10.1007/s43657-023-00109-x","Hui QiaoJingze TanShaoqing WenMenghan ZhangShuhua XuLi Jin","2023","http://link.springer.com/article/10.1007/s43657-023-00109-x","Article"
"Multi-omics Analysis of Young Portulaca oleracea L. Plants’ Responses to High NaCl Doses Reveals Insights into Pathways and Genes Responsive to Salinity Stress in this Halophyte Species","Phenomics","","3","1","10.1007/s43657-022-00061-2","Vivianny Nayse Belo SilvaThalliton Luiz Carvalho da SilvaThalita Massaro Malheiros FerreiraJorge Candido Rodrigues NetoAndré Pereira LeãoJosé Antônio de Aquino RibeiroPatrícia Verardi AbdelnurLeonardo Fonseca ValadaresCarlos Antônio Ferreira de SousaManoel Teixeira Souza Júnior","2023","http://link.springer.com/article/10.1007/s43657-022-00061-2","Article"
"Diets, Gut Microbiota and Metabolites","Phenomics","","3","3","10.1007/s43657-023-00095-0","Yilian LiuWanglei ZhongXiao LiFeng ShenXiaonan MaQi YangShangyu HongYan Sun","2023","http://link.springer.com/article/10.1007/s43657-023-00095-0","Article"
"Recent Progresses in Electrochemical DNA Biosensors for MicroRNA Detection","Phenomics","","2","1","10.1007/s43657-021-00032-z","Lulu ZhangWenqiong SuShuopeng LiuChengjie HuangBehafarid GhalandariAdeleh DivsalarXianting Ding","2022","http://link.springer.com/article/10.1007/s43657-021-00032-z","Article"
"Causal Relationship Between Complement C3, C4, and Nonalcoholic Fatty Liver Disease: Bidirectional Mendelian Randomization Analysis","Phenomics","","1","5","10.1007/s43657-021-00023-0","Longman LiLulu HuangAimin YangXiuming FengZengnan MoHaiying ZhangXiaobo Yang","2021","http://link.springer.com/article/10.1007/s43657-021-00023-0","Article"
"Why Do We Care More About Disease than Health?","Phenomics","","2","3","10.1007/s43657-021-00037-8","Martin Picard","2022","http://link.springer.com/article/10.1007/s43657-021-00037-8","Article"
"Human Genetic Variants Associated with COVID-19 Severity are Enriched in Immune and Epithelium Regulatory Networks","Phenomics","","2","6","10.1007/s43657-022-00066-x","Zhanying FengXianwen RenZhana DurenYong Wang","2022","http://link.springer.com/article/10.1007/s43657-022-00066-x","Article"
"Distribution Atlas of COVID-19 Pneumonia on Computed Tomography: A Deep Learning Based Description","Phenomics","","1","2","10.1007/s43657-021-00011-4","Shan HuangYuancheng WangZhen ZhouQian YuYizhou YuYi YangShenghong Ju","2021","http://link.springer.com/article/10.1007/s43657-021-00011-4","Article"
"Beyond Mendelian Inheritance: Genetic Buffering and Phenotype Variability","Phenomics","","2","2","10.1007/s43657-021-00030-1","Andrea RossiZacharias Kontarakis","2022","http://link.springer.com/article/10.1007/s43657-021-00030-1","Article"
"Immunosuppression Induced by Brain-Specific HDAC6 Knockdown Improves Aging Performance in Drosophila melanogaster","Phenomics","","2","3","10.1007/s43657-022-00045-2","Yingying ZhaoHongwen XuanChao ShenPeiyi LiuJing-Dong J. HanWei Yu","2022","http://link.springer.com/article/10.1007/s43657-022-00045-2","Article"
"Skin Microbiome, Metabolome and Skin Phenome, from the Perspectives of Skin as an Ecosystem","Phenomics","","2","6","10.1007/s43657-022-00073-y","Huizhen ChenQi ZhaoQian ZhongCheng DuanJean KrutmannJiucun WangJingjing Xia","2022","http://link.springer.com/article/10.1007/s43657-022-00073-y","Article"
"A Meta-Analysis of the Genome-Wide Association Studies on Two Genetically Correlated Phenotypes Suggests Four New Risk Loci for Headaches","Phenomics","","3","1","10.1007/s43657-022-00078-7","Weihua MengParminder S. ReelCharvi NangiaAravind Lathika RajendrakumarHarry L. HebertQian GuoMark J. AdamsHua ZhengZen Haut LuDebashree RayLesley A. ColvinColin N. A. PalmerAndrew M. McIntoshBlair H. Smith","2023","http://link.springer.com/article/10.1007/s43657-022-00078-7","Article"
"Molecular Determinants of Antibiotic Resistance in the Costa Rican Pseudomonas aeruginosa AG1 by a Multi-omics Approach: A Review of 10 Years of Study","Phenomics","","1","3","10.1007/s43657-021-00016-z","Jose Arturo Molina-MoraFernando García","2021","http://link.springer.com/article/10.1007/s43657-021-00016-z","Article"
"In Situ Saturating Mutagenesis Screening Identifies a Functional Genomic Locus that Regulates Ucp1 Expression","Phenomics","","1","1","10.1007/s43657-020-00006-7","Yan QiuXiaojian LiuYingmin SunShuang LiYuda WeiCheng TianQiurong Ding","2021","http://link.springer.com/article/10.1007/s43657-020-00006-7","Article"
"Causal Effect of Genetically Determined Blood Copper Concentrations on Multiple Diseases: A Mendelian Randomization and Phenome-Wide Association Study","Phenomics","","2","4","10.1007/s43657-022-00052-3","Xiuming FengWenjun YangLulu HuangHong ChengXiaoting GeGaohui ZanYanli TanLili XiaoChaoqun LiuXing ChenZengnan MoLongman LiXiaobo Yang","2022","http://link.springer.com/article/10.1007/s43657-022-00052-3","Article"
"Autophagic Clearance of Lipid Droplets Alters Metabolic Phenotypes in a Genetic Obesity–Diabetes Mouse Model","Phenomics","","3","2","10.1007/s43657-022-00080-z","Ningxie ChenBoxun LuYuhua Fu","2023","http://link.springer.com/article/10.1007/s43657-022-00080-z","Article"
"High-Resolution and Multidimensional Phenotypes Can Complement Genomics Data to Diagnose Diseases in the Neonatal Population","Phenomics","","3","2","10.1007/s43657-022-00071-0","Tiantian XiaoXinran DongYulan LuWenhao Zhou","2023","http://link.springer.com/article/10.1007/s43657-022-00071-0","Article"
"Overview of a Sleep Monitoring Protocol for a Large Natural Population","Phenomics","","3","4","10.1007/s43657-023-00102-4","Minghui LiuHangyu ZhuJinbu TangHongyu ChenChen ChenJingchun LuoWei Chen","2023","http://link.springer.com/article/10.1007/s43657-023-00102-4","Article"
"Management of Intraductal Papilloma of the Breast Diagnosed on Core Needle Biopsy: Latest Controversies","Phenomics","","3","2","10.1007/s43657-022-00085-8","Siyuan TuYulian YinChunchun YuanHongfeng Chen","2023","http://link.springer.com/article/10.1007/s43657-022-00085-8","Article"
"Genetic Architecture of Childhood Kidney and Urological Diseases in China","Phenomics","","1","3","10.1007/s43657-021-00014-1","Ye FangHua ShiTianchao XiangJiaojiao LiuJialu LiuXiaoshan TangXiaoyan FangJing ChenYihui ZhaiQian ShenGuomin LiLi SunYunli BiXiang WangYanyan QianBingbing Wu","2021","http://link.springer.com/article/10.1007/s43657-021-00014-1","Article"
"Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma","Phenomics","","2","2","10.1007/s43657-021-00042-x","Xiaohui ZhangHan JiangShuang WuJing WangRui ZhouXuexin HeShufang QianShuilin ZhaoHong ZhangAli Cahid CivelekMei Tian","2022","http://link.springer.com/article/10.1007/s43657-021-00042-x","Article"
"CYP2C9*3 Increases the Ibuprofen Response of Hemodynamically Significant Patent Ductus Arteriosus in the Infants with Gestational Age of More Than 30 Weeks","Phenomics","","2","1","10.1007/s43657-021-00028-9","Xiang ChenYuxi ChenTiantian XiaoXinran DongYulan LuYanyan QianHuijun WangWenhao Zhou","2022","http://link.springer.com/article/10.1007/s43657-021-00028-9","Article"
"Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-Aged and Elderly Chinese","Phenomics","","2","5","10.1007/s43657-022-00057-y","Zhenhua NiuQingqing WuYaogan LuoDi WangHe ZhengYanpu WuXiaowei YangRong ZengLiang SunXu Lin","2022","http://link.springer.com/article/10.1007/s43657-022-00057-y","Article"
"A Common Functional Variant at the Enhancer of the Rheumatoid Arthritis Risk Gene ORMDL3 Regulates its Expression Through Allele-Specific JunD Binding","Phenomics","","","","10.1007/s43657-023-00107-z","Wenjing YeYiyun YuXiaoxia ZhuWeiguo WanYun LiuHejian ZouZaihua Zhu","2023","http://link.springer.com/article/10.1007/s43657-023-00107-z","Article"
"Computational Methods for Prediction of Human Protein-Phenotype Associations: A Review","Phenomics","","1","4","10.1007/s43657-021-00019-w","Lizhi LiuShanfeng Zhu","2021","http://link.springer.com/article/10.1007/s43657-021-00019-w","Article"
"Deep Immunophenotyping of Human Whole Blood by Standardized Multi-parametric Flow Cytometry Analyses","Phenomics","","3","3","10.1007/s43657-022-00092-9","Jian GaoYali LuoHelian LiYiran ZhaoJialin ZhaoXuling HanJingxuan HanHuiqin LinFeng Qian","2023","http://link.springer.com/article/10.1007/s43657-022-00092-9","Article"
"Prediction of Metabolic Disorders Using NMR-Based Metabolomics: The Shanghai Changfeng Study","Phenomics","","1","4","10.1007/s43657-021-00021-2","Qi WuQing-xia HuangHai-luan ZengShuai MaHuan-dong LinMing-feng XiaHui-ru TangXin Gao","2021","http://link.springer.com/article/10.1007/s43657-021-00021-2","Article"
"Cross-sectional Exploration of the Relationship Between Glutamate Abnormalities and Tic Disorder Severity Using Proton Magnetic Resonance Spectroscopy","Phenomics","","3","2","10.1007/s43657-022-00064-z","Juanjuan HaoXin ZhangYing LiuZhongyang ZhangKeyu JiangXiao-Yong ZhangMin Wu","2023","http://link.springer.com/article/10.1007/s43657-022-00064-z","Article"
"Metabolic Molecular Diagnosis of Inflammatory Bowel Disease by Synergistical Promotion of Layered Titania Nanosheets with Graphitized Carbon","Phenomics","","2","4","10.1007/s43657-022-00055-0","Xufang HuYang ZhangChunhui DengNianrong SunHao Wu","2022","http://link.springer.com/article/10.1007/s43657-022-00055-0","Article"
"Protocol for Brain Magnetic Resonance Imaging and Extraction of Imaging-Derived Phenotypes from the China Phenobank Project","Phenomics","","","","10.1007/s43657-022-00083-w","Chengyan WangZhang ShiYan LiXueqin XiaXutong KuangShufang QianLe XueLizhen LanYudan WuNa ZhangJi TaoXumei HuWenzhao CaoNaying HeYike GuoWeibo Chen","2023","http://link.springer.com/article/10.1007/s43657-022-00083-w","Article"
"Increased Soluble Epoxide Hydrolase Activity Positively Correlates with Mortality in Heart Failure Patients with Preserved Ejection Fraction: Evidence from Metabolomics","Phenomics","","3","1","10.1007/s43657-022-00069-8","Liyuan PengZiping SongChengcheng ZhaoKudusi AbuduwufuerYanwen WangZheng WenLi NiChenze LiYing YuYi ZhuHualiang JiangJinshan ShenXiangrui JiangChen ChenXu ZhangDao Wen Wang","2023","http://link.springer.com/article/10.1007/s43657-022-00069-8","Article"
"Genetic Phenotypes of Alzheimer’s Disease: Mechanisms and Potential Therapy","Phenomics","","3","4","10.1007/s43657-023-00098-x","Meina QuanShuman CaoQi WangShiyuan WangJianping Jia","2023","http://link.springer.com/article/10.1007/s43657-023-00098-x","Article"
"Quantitative Assessment of Ultraviolet-Induced Erythema and Tanning Responses in the Han Chinese Population","Phenomics","","","","10.1007/s43657-023-00105-1","Yanyun MaYimei TanYue HuWeilin PuJinhua XuLi JinJiucun Wang","2023","http://link.springer.com/article/10.1007/s43657-023-00105-1","Article"
"Systematic Genome-Wide Profiles Reveal Alternative Splicing Landscape and Implications of Splicing Regulator DExD-Box Helicase 21 in Aggressive Progression of Adrenocortical Carcinoma","Phenomics","","1","6","10.1007/s43657-021-00026-x","Wenhao XuAihetaimujiang AnwaierWangrui LiuXi TianWen-Kai ZhuJian WangYuanyuan QuHailiang ZhangDingwei Ye","2021","http://link.springer.com/article/10.1007/s43657-021-00026-x","Article"
"Identification of Germline Mutations in East-Asian Young Never-Smokers with Lung Adenocarcinoma by Whole-Exome Sequencing","Phenomics","","3","2","10.1007/s43657-022-00062-1","Fangqiu FuXiaoting TaoZhonglin JiangZhendong GaoYue ZhaoYuan LiHong HuLibing ShenYihua SunYang Zhang","2023","http://link.springer.com/article/10.1007/s43657-022-00062-1","Article"
