"","Manuscript.Number","Author.Name","Article.Title","Article.Type","Current.Status","Status.Date","Initial.Date.Submitted","Review.Status","DOI","Short.Title","Keywords","Reviewers","Handling.Editor","Assigned.Editors","Country","is_China"
"145","PNMC-D-21-00023","González Pilar (SPAIN)","Silicon in the Universe: It would be possible that silicon form part of some other life type?.","Review","Final Decision Reject","18 Sep 2021","10 May 2021","1 Complete; 0 Partial Review Saved; 7 Declined",NA,"","","Qi Zhang *","Sankari Gireesa","Chen Ding","SPAIN","Overseas"
"144","PNMC-D-21-00024R1","Lei Zhang (CHINA)","Unsupervised machine learning clustering approaches reveal distinct spatial and temporal differences in the early diversification of SARS-COV-2","Article","Final Decision Reject","23 Sep 2021","13 May 2021","2 Complete; 0 Partial Review Saved; 1 Declined",NA,"","","Yi Wang ; Guoqing Zhang ; Jianqing Xu * ; Guoqing Zhang *","Sankari Gireesa","Chen Ding","CHINA","China"
"143","PNMC-D-21-00025R3","Li Zhang (CHINA)","Integrative identification by Hi-C revealed distinct advanced structural variations in Lung Adenocarcinoma tissue","Article","Final Decision Accept","08 Mar 2023","16 May 2021","",NA,"","","Yueqing Hu ; Ming Jiang ; Yueqing Hu ; Ming Jiang ; Ming Jiang","Sankari Gireesa","Chen Ding","CHINA","China"
"142","PNMC-D-21-00026R4","Ding-Wei Ye (CHINA)","Systematic genome-wide profiles reveal alternative splicing landscape and implications of splicing regulator DExD-box helicase 21 in aggressive progression of adrenocortical carcinoma","Article","Final Decision Accept","20 Sep 2021","01 Jun 2021","",NA,"","","Chen Ding ; Jun Wang ; Chen Ding ; Jun Wang","Sankari Gireesa","Chen Ding","CHINA","China"
"141","PNMC-D-21-00027R4","Tiemin Liu (CHINA)","Pseudotime Ordering Single-cell Transcriptomic of β Cells Pancreatic Islets in Health and Type 2 Diabetes","Article","Final Decision Accept","27 Aug 2021","31 May 2021","",NA,"","","Xiaodan Lu ; Bingxiang Xu ; Yingyun Gong ; Xiaodan Lu ; Yingyun Gong ; Xiaodan Lu","Sankari Gireesa","Chen Ding","CHINA","China"
"140","PNMC-D-21-00028R2","Xianting Ding (CHINA)","Recent Progresses in Electrochemical DNA Biosensors for MicroRNA detection","Review","Final Decision Accept","13 Oct 2021","01 Jun 2021","",NA,"","","Dahai REN ; Muhammad J. A. Shiddiky ; Muhammad J. A. Shiddiky ; Shiping SONG ; Jian YANG","Sankari Gireesa","Chen Ding","CHINA","China"
"139","PNMC-D-21-00029R3","Hongming Shan (CHINA)","Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification","Article","Final Decision Accept","14 Sep 2021","08 Jun 2021","",NA,"","","Zheng Fang ; Yi Zhang ; Zheng Fang ; Yi Zhang ; Yi Zhang","Sankari Gireesa","Chen Ding","CHINA","China"
"138","PNMC-D-21-00030R6","Bing Su (CHINA)","Seasonality and Sex-biased Fluctuation of Birth Weight in Tibetan Populations","Article","Final Decision Accept","06 Dec 2021","21 Jun 2021","",NA,"","","Hui Li ; Shuhua Xu ; Hui Li ; Shuhua Xu","Sankari Gireesa","Chen Ding","CHINA","China"
"137","PNMC-D-21-00031R5","xiaobo yang (CHINA)","Causal effect of genetically determined blood copper concentrations on multiple diseases: A Mendelian randomization and phenome-wide association study","Article","Final Decision Accept","07 Apr 2022","27 Jun 2021","",NA,"","","Fashuai Wu ; Yan Zheng ; Yitang Sun ; Yan Zheng ; Yitang Sun ; Yan Zheng ; Yitang Sun ; Yan Zheng","Sankari Gireesa","Chen Ding","CHINA","China"
"136","PNMC-D-21-00032R2","Jie Tian (CHINA)","Optical imaging  of epigenetic modifications in cancer: A systematic review","Review","Final Decision Accept","17 Dec 2021","10 Jul 2021","",NA,"","","Zhen Cheng ; Mei Tian ; Mei Tian ; Chengyan Wang","Sankari Gireesa","Chen Ding","CHINA","China"
"135","PNMC-D-21-00033R2","Xingdong Chen (CHINA)","Phenome-wide association analysis reveals novel links between genetically determined levels of liver enzymes and disease phenotypes","Article","Final Decision Accept","16 Oct 2021","12 Jul 2021","",NA,"","","Wei He ; Jiaqi Huang ; Wei He ; Jiaqi Huang","Sankari Gireesa","Chen Ding","CHINA","China"
"134","PNMC-D-21-00034R5","Chunchun Yuan (CHINA)","Chinese Medicine Phenomics (Chinmedphenomics)-------Personalized, Precise and Promising","Review","Final Decision Accept","23 Aug 2022","27 Jul 2021","2 Complete; 0 Partial Review Saved",NA,"","","Zhenglong Gu ; Yanping Yang ; Bo Han ; Kaifeng Hu, Ph.D ; Bo Han ; Jingjing Luo ; Bo Han ; Guillermo Lopez Campos ; Bo Han ; Hui Li ; Bo Han * ; Hui Li *","Sankari Gireesa","Chen Ding","CHINA","China"
"133","PNMC-D-21-00035R4","Shangyu Hong (CHINA)","Diets, Gut Microbiota and Metabolites","Review","Final Decision Accept","13 Jan 2023","26 Jul 2021","",NA,"","","Shuang Tang, MD PhD MHSc ; Yan Zheng ; Shuang Tang, MD PhD MHSc ; Yan Zheng ; Shuang Tang, MD PhD MHSc ; Yan Zheng","Sankari Gireesa","Chen Ding","CHINA","China"
"132","PNMC-D-21-00036R2","Yenan Yang (CHINA)","Global quantitative proteomics analysis reveals the downstream signaling networks of Msx1 and Msx2 in myoblast differentiation","Article","Final Decision Accept","12 Feb 2022","28 Jul 2021","",NA,"","","Ping Hu ; Yuguo Yu ; Jichang Huang ; Yuguo Yu","Sankari Gireesa","Chen Ding","CHINA","China"
"131","PNMC-D-21-00037R2","WEI YU (CHINA)","Immunosuppression induced by brain-specific HDAC6 knockdown improves aging performance in Drosophila melanogaster","Article","Final Decision Accept","20 Jan 2022","01 Aug 2021","",NA,"","","Jingsong Li ; Guanghui Liu ; Jingsong Li ; Guanghui Liu","Sankari Gireesa","Chen Ding","CHINA","China"
"130","PNMC-D-21-00038R5","Hui Li (CHINA)","Infrared imageries of human body activated by tea match the hypothesis of meridian system","Correspondence/Letter to the Editor","Final Decision Accept","25 Nov 2022","05 Aug 2021","",NA,"","","Jinglei Guo ; Mengmeng Sun, Ph.D. ; Hui Zhang ; Jing Tang ; Neil Theise ; Joseph O. Erhabor, Ph.D. ; Wen-Guang Jing ; Cheang Khoo ; Joseph O. Erhabor, Ph.D. ; Silvana Nisgoski ; Daniela Benedec ; Joseph O. Erhabor, Ph.D.","Sankari Gireesa","Chen Ding","CHINA","China"
"129","PNMC-D-21-00039R6","He Wang (CHINA)","Measurement of Cerebral Oxygen Extraction Fraction (OEF) Using Quantitative BOLD approach: A Review","Review","Final Decision Accept","12 Oct 2022","11 Aug 2021","",NA,"","","Hao Li ; Jie Tian, Ph.D. ; Nicholas Blockley ; Hao Li ; Jeffrey N Stout ; Junghun Cho ; Hao Li ; Stephen J. Payne ; Jeroen C. W. Siero ; Hao Li ; Jeroen C. W. Siero ; Hao Li ; Jeroen C. W. Siero","Sankari Gireesa","Chen Ding","CHINA","China"
"128","PNMC-D-21-00040R3","Jixi Li (CHINA)","Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker","Article","Final Decision Accept","01 Nov 2021","12 Aug 2021","",NA,"","","Lunzhi Dai ; Jianyuan Zhao ; Lunzhi Dai ; Jianyuan Zhao","Sankari Gireesa","Chen Ding","CHINA","China"
"127","PNMC-D-21-00041R2","Qin Lun-Xiu (CHINA)","Emerging Regulatory Mechanisms of N6-methyladenosine Modification in Cancer Metastasis","Review","Final Decision Accept","27 Dec 2021","15 Aug 2021","",NA,"","","Zeguang Han ; Xiaoyang Zhang ; Zeguang Han ; Xiaoyang Zhang","Sankari Gireesa","Chen Ding","CHINA","China"
"126","PNMC-D-21-00042R3","Karansher Sandhu (UNITED STATES)","A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping","Review","Final Decision Accept","11 Feb 2022","17 Aug 2021","",NA,"","","Mario Valerio Giuffrida, PhD ; Yingxiang Wang ; Mario Valerio Giuffrida, PhD ; Yingxiang Wang","Sankari Gireesa","Chen Ding","UNITED STATES","Overseas"
"125","PNMC-D-21-00043R3","Feng Jiang (CHINA)","A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic","Article","Final Decision Accept","20 Jan 2022","27 Aug 2021","",NA,"","","Mofang Liu ; Fuxi Zhu ; Mofang Liu ; Fuxi Zhu ; Mofang Liu ; Fuxi Zhu","Sankari Gireesa","Chen Ding","CHINA","China"
"124","PNMC-D-21-00044R2","Hong Zhang (CHINA)","Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma","Review","Final Decision Accept","22 Dec 2021","21 Aug 2021","",NA,"","","He Wang ; Yafu Yin ; He Wang ; Yafu Yin","Sankari Gireesa","Chen Ding","CHINA","China"
"123","PNMC-D-21-00045R4","Feng Jiang (CHINA)","Basic phenotyping of male fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University","Article","Final Decision Accept","31 Jan 2022","29 Aug 2021","",NA,"","","Xiaolin He ; Mofang Liu ; Xiaolin He ; Mofang Liu","Sankari Gireesa","Chen Ding","CHINA","China"
"122","PNMC-D-21-00046R2","Weihai Ying (CHINA)","Green Autofluorescence of the Index Fingernails of Human Subjects is a Novel and Significant Phenomic Parameter for Non-Invasive and Rapid Determinations of the Status of Tobacco Smoking","Article","Final Decision Reject","24 Feb 2022","22 Aug 2021","3 Complete; 0 Partial Review Saved",NA,"","","Minbiao Ji ; Xunbin Wei ; Chen Chen ; Minbiao Ji ; Xunbin Wei ; Chen Chen * ; Xudong Wang * ; Xunbin Wei *","Sankari Gireesa","Chen Ding","CHINA","China"
"121","PNMC-D-21-00047R4","Junjie Luo (CHINA)","Mitochondria as the essence of Yang Qi in the human body","Review","Final Decision Accept","04 May 2022","28 Aug 2021","",NA,"","","Martin Picard ; Chengping Wen ; Martin Picard ; Chengping Wen ; Martin Picard ; Chengping Wen","Sankari Gireesa","Chen Ding","CHINA","China"
"120","PNMC-D-21-00048","Xin-Qiang Wu (CHINA)","Increased Expression of TRIB3 Predicts Poor Prognosis and Correlates with Tumor Immunity in clear cell renal cell carcinoma: A Bioinformatics Study","Article","Submission Transferred","03 Dec 2021","02 Sep 2021","2 Complete; 0 Partial Review Saved; 8 Declined",NA,"","","Jinwen Feng * ; Quan Zhou *","Sankari Gireesa","Chen Ding","CHINA","China"
"119","PNMC-D-21-00049R2","Lingjun Li (UNITED STATES)","Recent Advances in Understanding of Alzheimer’s Disease Progression through Mass Spectrometry-Based Metabolomics","Review","Final Decision Accept","01 Dec 2021","01 Sep 2021","",NA,"","","Ling Hao ; Melanie Odenkirk ; Ling Hao ; Melanie Odenkirk","Sankari Gireesa","Chen Ding","UNITED STATES","Overseas"
"118","PNMC-D-21-00050R3","Martin Picard (UNITED STATES)","Why Do We Care More About Disease than Health?","Commentary","Final Decision Accept","03 Dec 2021","05 Sep 2021","",NA,"","","Vorasuk Shotelersuk ; Qiang Tian, MD, PhD ; Vorasuk Shotelersuk ; Qiang Tian, MD, PhD ; Vorasuk Shotelersuk ; Qiang Tian, MD, PhD","Sankari Gireesa","Chen Ding","UNITED STATES","Overseas"
"117","PNMC-D-21-00051","Mukhtar Ahmed (UNITED KINGDOM)","Evaluation of status of post-recovery patients with COVID-19 infections in Kurdistan region-Iraq","Article","Final Decision Reject","23 Nov 2021","29 Sep 2021","2 Complete; 0 Partial Review Saved; 4 Declined",NA,"","","Yueqing Hu * ; Pengfei Wang *","Sankari Gireesa","Chen Ding","UNITED KINGDOM","Overseas"
"116","PNMC-D-21-00052R3","Ding-Wei Ye (CHINA)","Large-scale proteomics data reveal integrated prognosis-related protein signatures and role of SMAD4 and RAD50 in prognosis and immune infiltrations of prostate cancer microenvironment","Article","Final Decision Accept","06 Aug 2022","01 Oct 2021","",NA,"","","Jinwen Feng ; Lei Zhou ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao","Sankari Gireesa","Chen Ding","CHINA","China"
"115","PNMC-D-21-00053R3","Guangtao Zhai (CHINA)","Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning","Article","Final Decision Accept","12 May 2022","12 Oct 2021","",NA,"","","Menghan Hu ; Jiantao Zhou ; Menghan Hu ; Jiantao Zhou","Sankari Gireesa","Chen Ding","CHINA","China"
"114","PNMC-D-21-00054R2","Lin Li (CHINA)","Unraveling the dynamic integration of auxin, brassinosteroid and gibberellin in early shade-induced hypocotyl elongation","Article","Final Decision Accept","10 Jan 2022","11 Oct 2021","",NA,"","","Jigang Li ; Haiyang Wang ; Jigang Li ; Haiyang Wang","Sankari Gireesa","Chen Ding","CHINA","China"
"113","PNMC-D-21-00055R4","Xiaofeng Wang (CHINA)","Causal Association of Cardiac Function by Magnetic Resonance Imaging with Frailty Index: A Mendelian Randomization Study","Article","Reviewers Assigned","09 Aug 2022","13 Oct 2021","1 Declined",NA,"","","Cheng Hu ; Shengda Lin ; Cheng Hu ; Yueqing Hu ; Cheng Hu ; Yueqing Hu","Sankari Gireesa","Chen Ding","CHINA","China"
