title	url	type	time	access	citation	altmetric	correspond_authors	update_time	volume	issue
Identification of Germline Mutations in East-Asian Young Never-Smokers with Lung Adenocarcinoma by Whole-Exome Sequencing	http://link.springer.com/article/10.1007/s43657-022-00062-1	Article	2022-06-11	714	0	1	Libing Shen, Yihua Sun, Yang Zhang	2022-09-19	 	 
Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection in Costa Rica During the Pre-vaccination Period Using a Machine Learning Approach	http://link.springer.com/article/10.1007/s43657-022-00058-x	Article	2022-06-07	552	2	1	Jose Arturo Molina-Mora	2022-09-19	 	 
Metabolic Molecular Diagnosis of Inflammatory Bowel Disease by Synergistical Promotion of Layered Titania Nanosheets with Graphitized Carbon	http://link.springer.com/article/10.1007/s43657-022-00055-0	Article	2022-06-01	434	0	1	Chunhui Deng, Nianrong Sun, Hao Wu	2022-09-19	2	4
Emerging Regulatory Mechanisms of N6-Methyladenosine Modification in Cancer Metastasis	http://link.springer.com/article/10.1007/s43657-021-00043-w	Review	2022-05-25	617	0	1	Lunxiu Qin	2022-09-19	 	 
Deep Clinical Phenotyping of Parkinson’s Disease: Towards a New Era of Research and Clinical Care	http://link.springer.com/article/10.1007/s43657-022-00051-4	Review	2022-05-21	523	0	1	Jian Wang	2022-09-19	 	 
A Hashing-Based Framework for Enhancing Cluster Delineation of High-Dimensional Single-Cell Profiles	http://link.springer.com/article/10.1007/s43657-022-00056-z	Article	2022-05-19	414	0	1	Xianting Ding	2022-09-19	 	 
Nascent Proteome and Glycoproteome Reveal the Inhibition Role of ALG1 in Hepatocellular Carcinoma Cell Migration	http://link.springer.com/article/10.1007/s43657-022-00050-5	Article	2022-05-14	555	0	0	Hong Shu, Haojie Lu	2022-09-19	2	4
Biomarkers and Disease Trajectories Influencing Women’s Health: Results from the UK Biobank Cohort	http://link.springer.com/article/10.1007/s43657-022-00054-1	Article	2022-05-12	933	0	0	Haomin Yang, Weimin Ye	2022-09-19	2	3
Causal Effect of Genetically Determined Blood Copper Concentrations on Multiple Diseases: A Mendelian Randomization and Phenome-Wide Association Study	http://link.springer.com/article/10.1007/s43657-022-00052-3	Article	2022-05-07	504	0	0	Longman Li, Xiaobo Yang	2022-09-19	2	4
Three Novel Mutations of Microphthalmos Identified in Two Chinese Families	http://link.springer.com/article/10.1007/s43657-022-00053-2	Article	2022-05-07	367	0	0	Yi Lu, Tianyu Zheng	2022-09-19	2	4
Correction to: Welcome to the Phenomics Journal	http://link.springer.com/article/10.1007/s43657-022-00059-w	Correction	2022-05-06	148	0	0	Li Jin	2022-09-19	 	 
A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping	http://link.springer.com/article/10.1007/s43657-022-00048-z	Review	2022-04-04	2340	6	6	Karansher S. Sandhu	2022-09-19	2	3
Global Quantitative Proteomics Analysis Reveals the Downstream Signaling Networks of Msx1 and Msx2 in Myoblast Differentiation	http://link.springer.com/article/10.1007/s43657-022-00049-y	Article	2022-03-14	453	0	0	Yenan Yang	2022-09-19	2	3
Basic Phenotyping of Male Fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University	http://link.springer.com/article/10.1007/s43657-022-00047-0	Article	2022-02-28	398	0	0	Feng Jiang	2022-09-19	2	3
A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic Image System	http://link.springer.com/article/10.1007/s43657-022-00046-1	Article	2022-02-26	496	0	1	Feng Jiang	2022-09-19	2	2
Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma	http://link.springer.com/article/10.1007/s43657-021-00042-x	Review	2022-02-24	735	0	0	Hong Zhang, Ali Cahid Civelek, Mei Tian	2022-09-19	2	2
Immunosuppression Induced by Brain-Specific HDAC6 Knockdown Improves Aging Performance in Drosophila melanogaster	http://link.springer.com/article/10.1007/s43657-022-00045-2	Article	2022-02-23	657	0	0	Jing-Dong J. Han, Wei Yu	2022-09-19	2	3
Recent Advances in Understanding of Alzheimer’s Disease Progression Through Mass Spectrometry-Based Metabolomics	http://link.springer.com/article/10.1007/s43657-021-00036-9	Review	2022-02-22	1241	0	16	Lingjun Li	2022-09-19	2	1
Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts	http://link.springer.com/article/10.1007/s43657-021-00040-z	Article	2022-02-22	306	0	0	Yi Lu	2022-09-19	2	2
Unraveling the Dynamic Integration of Auxin, Brassinosteroid and Gibberellin in Early Shade-Induced Hypocotyl Elongation	http://link.springer.com/article/10.1007/s43657-022-00044-3	Article	2022-02-13	591	0	0	Lin Li	2022-09-19	2	2
Diurnal Circadian Lighting Accumulation Model: A Predictor of the Human Circadian Phase Shift Phenotype	http://link.springer.com/article/10.1007/s43657-021-00039-6	Article	2022-02-11	817	0	0	Yandan Lin	2022-09-19	2	1
Optical Imaging of Epigenetic Modifications in Cancer: A Systematic Review	http://link.springer.com/article/10.1007/s43657-021-00041-y	Review	2022-02-07	963	0	0	Yang Du, Jie Tian	2022-09-19	2	2
Seasonality and Sex-Biased Fluctuation of Birth Weight in Tibetan Populations	http://link.springer.com/article/10.1007/s43657-021-00038-7	Article	2022-01-31	498	0	0	 Ouzhuluobu, Xuebin Qi, Bing Su	2022-09-19	2	1
Why Do We Care More About Disease than Health?	http://link.springer.com/article/10.1007/s43657-021-00037-8	Commentary	2022-01-28	1631	0	20	Martin Picard	2022-09-19	2	3
Recent Progresses in Electrochemical DNA Biosensors for MicroRNA Detection	http://link.springer.com/article/10.1007/s43657-021-00032-z	Review	2022-01-21	1081	1	0	Xianting Ding	2022-09-19	2	1
Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker	http://link.springer.com/article/10.1007/s43657-021-00034-x	Article	2022-01-19	817	0	0	Jixi Li	2022-09-19	2	1
Correction to: N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells657	http://link.springer.com/article/10.1007/s43657-021-00035-w	Correction	2022-01-17	200	0	0	Yun Chen, Zhixin Tian	2022-09-19	 	 
Phenome-Wide Association Analysis Reveals Novel Links Between Genetically Determined Levels of Liver Enzymes and Disease Phenotypes	http://link.springer.com/article/10.1007/s43657-021-00033-y	Article	2022-01-11	976	0	0	Xingdong Chen	2022-09-19	 	 
Mapping Cell Phenomics with Multiparametric Flow Cytometry Assays	http://link.springer.com/article/10.1007/s43657-021-00031-0	Review	2022-01-09	1524	0	0	Shan Jiang, Jing Wang, Ying Wan	2022-09-19	2	4
Beyond Mendelian Inheritance: Genetic Buffering and Phenotype Variability	http://link.springer.com/article/10.1007/s43657-021-00030-1	Review	2021-12-27	1309	1	0	Andrea Rossi, Zacharias Kontarakis	2022-09-19	2	2
CYP2C9*3 Increases the Ibuprofen Response of Hemodynamically Significant Patent Ductus Arteriosus in the Infants with Gestational Age of More Than 30 Weeks	http://link.springer.com/article/10.1007/s43657-021-00028-9	Correspondence	2021-11-11	609	0	0	Wenhao Zhou	2022-09-19	2	1
Mental Calculation Drives Reliable and Weak Distant Connectivity While Music Listening Induces Dense Local Connectivity	http://link.springer.com/article/10.1007/s43657-021-00027-w	Article	2021-11-10	1107	0	0	Yuguo Yu	2022-09-19	1	6
Systematic Genome-Wide Profiles Reveal Alternative Splicing Landscape and Implications of Splicing Regulator DExD-Box Helicase 21 in Aggressive Progression of Adrenocortical Carcinoma	http://link.springer.com/article/10.1007/s43657-021-00026-x	Article	2021-10-29	1086	4	0	Yuanyuan Qu, Hailiang Zhang, Dingwei Ye	2022-09-19	1	6
N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells	http://link.springer.com/article/10.1007/s43657-021-00029-8	Article	2021-10-28	1030	4	0	Yun Chen, Zhixin Tian	2022-09-19	1	6
Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification	http://link.springer.com/article/10.1007/s43657-021-00025-y	Article	2021-10-26	954	5	0	Hongming Shan	2022-09-19	1	6
Pseudotime Ordering Single-Cell Transcriptomic of β Cells Pancreatic Islets in Health and Type 2 Diabetes	http://link.springer.com/article/10.1007/s43657-021-00024-z	Article	2021-10-19	907	1	0	Xingxing Kong, Tiemin Liu	2022-09-19	1	5
Causal Relationship Between Complement C3, C4, and Nonalcoholic Fatty Liver Disease: Bidirectional Mendelian Randomization Analysis	http://link.springer.com/article/10.1007/s43657-021-00023-0	Article	2021-09-23	699	0	0	Xiaobo Yang	2022-09-19	1	5
Origin and Spread of the ALDH2 Glu504Lys Allele	http://link.springer.com/article/10.1007/s43657-021-00017-y	Review	2021-09-20	1286	1	0	Aijun Sun	2022-09-19	1	5
Phenotypes of Cardiovascular Diseases: Current Status and Future Perspectives	http://link.springer.com/article/10.1007/s43657-021-00022-1	Review	2021-08-26	882	0	0	Jiangping Song	2022-09-19	1	5
Prediction of Metabolic Disorders Using NMR-Based Metabolomics: The Shanghai Changfeng Study	http://link.springer.com/article/10.1007/s43657-021-00021-2	Article	2021-08-24	937	1	0	Ming-feng Xia, Hui-ru Tang, Xin Gao	2022-09-19	1	4
Computational Methods for Prediction of Human Protein-Phenotype Associations: A Review	http://link.springer.com/article/10.1007/s43657-021-00019-w	Review	2021-08-06	1235	1	3	Shanfeng Zhu	2022-09-19	1	4
Recommendation for Cardiac Magnetic Resonance Imaging-Based Phenotypic Study: Imaging Part	http://link.springer.com/article/10.1007/s43657-021-00018-x	Review	2021-07-28	1757	0	0	Chengyan Wang, He Wang	2022-09-19	1	4
Molecular Phenomic Approaches to Deconvolving the Systemic Effects of SARS-CoV-2 Infection and Post-acute COVID-19 Syndrome	http://link.springer.com/article/10.1007/s43657-021-00020-3	Review	2021-07-22	2311	2	33	Jeremy K. Nicholson	2022-09-19	1	4
Genetic Architecture of Childhood Kidney and Urological Diseases in China	http://link.springer.com/article/10.1007/s43657-021-00014-1	Article	2021-07-15	1156	5	0	Jia Rao, Hong Xu	2022-09-19	1	3
Defense of COVID-19 by Human Organoids	http://link.springer.com/article/10.1007/s43657-021-00015-0	Review	2021-07-14	2460	1	0	Xinhua Lin, Bing Zhao	2022-09-19	1	3
Random Penetrance of Mutations Among Individuals: A New Type of Genetic Drift in Molecular Evolution	http://link.springer.com/article/10.1007/s43657-021-00013-2	Article	2021-06-17	807	1	0	Xun Gu	2022-09-19	1	3
Molecular Determinants of Antibiotic Resistance in the Costa Rican Pseudomonas aeruginosa AG1 by a Multi-omics Approach: A Review of 10 Years of Study	http://link.springer.com/article/10.1007/s43657-021-00016-z	Review	2021-06-17	2171	1	2	Jose Arturo Molina-Mora	2022-09-19	1	3
Distribution Atlas of COVID-19 Pneumonia on Computed Tomography: A Deep Learning Based Description	http://link.springer.com/article/10.1007/s43657-021-00011-4	Article	2021-05-11	1505	2	1	Shenghong Ju	2022-09-19	1	2
Comparison of Metabolic Profiling of Arabidopsis Inflorescences Between Landsberg erecta and Columbia, and Meiosis-Defective Mutants by 1H-NMR Spectroscopy	http://link.springer.com/article/10.1007/s43657-021-00012-3	Article	2021-05-11	1255	0	0	Limin Zhang, Yingxiang Wang	2022-09-19	1	2
High-Throughput Phenotyping: A Platform to Accelerate Crop Improvement	http://link.springer.com/article/10.1007/s43657-020-00007-6	Review	2021-05-11	2728	8	1	Neelam R. Yadav	2022-09-19	1	2
Effect of Light on Cognitive Function During a Stroop Task Using Functional Near-Infrared Spectroscopy	http://link.springer.com/article/10.1007/s43657-021-00010-5	Article	2021-04-19	1801	1	2	Wei Chen	2022-09-19	1	2
Using Composite Phenotypes to Reveal Hidden Physiological Heterogeneity in High-Altitude Acclimatization in a Chinese Han Longitudinal Cohort	http://link.springer.com/article/10.1007/s43657-020-00005-8	Article	2021-02-22	3867	3	7	Jiucun Wang, Li Jin	2022-09-19	1	1
The Ultrafast and Accurate Mapping Algorithm FANSe3: Mapping a Human Whole-Genome Sequencing Dataset Within 30 Minutes	http://link.springer.com/article/10.1007/s43657-020-00008-5	Article	2021-02-22	2758	5	7	Gong Zhang, Jingjie Jin	2022-09-19	1	1
In Situ Saturating Mutagenesis Screening Identifies a Functional Genomic Locus that Regulates Ucp1 Expression	http://link.springer.com/article/10.1007/s43657-020-00006-7	Correspondence	2021-02-22	1796	2	0	Qiurong Ding	2022-09-19	1	1
Welcome to the Phenomics Journal	http://link.springer.com/article/10.1007/s43657-020-00009-4	Editorial	2021-01-11	3741	1	5	Li Jin	2022-09-19	1	1
