title	type	time	access	citation	altmetric	correspond_authors	update_time
A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping	Review	2022-04-04	2195	3	7	Karansher S. Sandhu	2022-08-27
Emerging Regulatory Mechanisms of N6-Methyladenosine Modification in Cancer Metastasis	Review	2022-05-25	502	0	1	Lunxiu Qin	2022-08-27
Deep Clinical Phenotyping of Parkinson’s Disease: Towards a New Era of Research and Clinical Care	Review	2022-05-21	453	0	1	Jian Wang	2022-08-27
A Hashing-Based Framework for Enhancing Cluster Delineation of High-Dimensional Single-Cell Profiles	Article	2022-05-19	356	0	1	Xianting Ding	2022-08-27
Nascent Proteome and Glycoproteome Reveal the Inhibition Role of ALG1 in Hepatocellular Carcinoma Cell Migration	Article	2022-05-14	469	0	0	Hong Shu, Haojie Lu	2022-08-27
Causal Effect of Genetically Determined Blood Copper Concentrations on Multiple Diseases: A Mendelian Randomization and Phenome-Wide Association Study	Article	2022-05-07	423	0	0	Longman Li, Xiaobo Yang	2022-08-27
Three Novel Mutations of Microphthalmos Identified in Two Chinese Families	Article	2022-05-07	265	0	0	Yi Lu, Tianyu Zheng	2022-08-27
Correction to: Welcome to the Phenomics Journal	Correction	2022-05-06	121	0	0	Li Jin	2022-08-27
Unraveling the Dynamic Integration of Auxin, Brassinosteroid and Gibberellin in Early Shade-Induced Hypocotyl Elongation	Article	2022-02-13	545	0	0	Lin Li	2022-08-27
Optical Imaging of Epigenetic Modifications in Cancer: A Systematic Review	Review	2022-02-07	832	0	0	Yang Du, Jie Tian	2022-08-27
Beyond Mendelian Inheritance: Genetic Buffering and Phenotype Variability	Review	2021-12-27	1214	0	0	Andrea Rossi, Zacharias Kontarakis	2022-08-27
Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma	Review	2022-02-24	640	0	0	Hong Zhang, Ali Cahid Civelek, Mei Tian	2022-08-27
Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts	Article	2022-02-22	275	0	0	Yi Lu	2022-08-27
A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic Image System	Article	2022-02-26	463	0	1	Feng Jiang	2022-08-27
Recent Advances in Understanding of Alzheimer’s Disease Progression Through Mass Spectrometry-Based Metabolomics	Review	2022-02-22	1107	0	17	Lingjun Li	2022-08-27
Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker	Article	2022-01-19	752	0	0	Jixi Li	2022-08-27
Diurnal Circadian Lighting Accumulation Model: A Predictor of the Human Circadian Phase Shift Phenotype	Article	2022-02-11	763	0	0	Yandan Lin	2022-08-27
Recent Progresses in Electrochemical DNA Biosensors for MicroRNA Detection	Review	2022-01-21	1015	1	0	Xianting Ding	2022-08-27
CYP2C9*3 Increases the Ibuprofen Response of Hemodynamically Significant Patent Ductus Arteriosus in the Infants with Gestational Age of More Than 30 Weeks	Correspondence	2021-11-11	561	0	0	Wenhao Zhou	2022-08-27
Seasonality and Sex-Biased Fluctuation of Birth Weight in Tibetan Populations	Article	2022-01-31	454	0	0	 Ouzhuluobu, Xuebin Qi, Bing Su	2022-08-27
Correction to: N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells657	Correction	2022-01-17	179	0	0	Yun Chen, Zhixin Tian	2022-08-27
Phenome-Wide Association Analysis Reveals Novel Links Between Genetically Determined Levels of Liver Enzymes and Disease Phenotypes	Article	2022-01-11	891	0	0	Xingdong Chen	2022-08-27
Mapping Cell Phenomics with Multiparametric Flow Cytometry Assays	Review	2022-01-09	1371	0	0	Shan Jiang, Jing Wang, Ying Wan	2022-08-27
N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells	Article	2021-10-28	946	4	0	Yun Chen, Zhixin Tian	2022-08-27
Mental Calculation Drives Reliable and Weak Distant Connectivity While Music Listening Induces Dense Local Connectivity	Article	2021-11-10	1048	0	0	Yuguo Yu	2022-08-27
Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification	Article	2021-10-26	905	3	0	Hongming Shan	2022-08-27
Systematic Genome-Wide Profiles Reveal Alternative Splicing Landscape and Implications of Splicing Regulator DExD-Box Helicase 21 in Aggressive Progression of Adrenocortical Carcinoma	Article	2021-10-29	1001	4	0	Yuanyuan Qu, Hailiang Zhang, Dingwei Ye	2022-08-27
Pseudotime Ordering Single-Cell Transcriptomic of β Cells Pancreatic Islets in Health and Type 2 Diabetes	Article	2021-10-19	824	1	0	Xingxing Kong, Tiemin Liu	2022-08-27
Phenotypes of Cardiovascular Diseases: Current Status and Future Perspectives	Review	2021-08-26	828	0	0	Jiangping Song	2022-08-27
Causal Relationship Between Complement C3, C4, and Nonalcoholic Fatty Liver Disease: Bidirectional Mendelian Randomization Analysis	Article	2021-09-23	649	0	0	Xiaobo Yang	2022-08-27
Origin and Spread of the ALDH2 Glu504Lys Allele	Review	2021-09-20	1185	1	0	Aijun Sun	2022-08-27
Recommendation for Cardiac Magnetic Resonance Imaging-Based Phenotypic Study: Imaging Part	Review	2021-07-28	1663	0	0	Chengyan Wang, He Wang	2022-08-27
Molecular Phenomic Approaches to Deconvolving the Systemic Effects of SARS-CoV-2 Infection and Post-acute COVID-19 Syndrome	Review	2021-07-22	2206	2	34	Jeremy K. Nicholson	2022-08-27
Computational Methods for Prediction of Human Protein-Phenotype Associations: A Review	Review	2021-08-06	1160	1	3	Shanfeng Zhu	2022-08-27
Prediction of Metabolic Disorders Using NMR-Based Metabolomics: The Shanghai Changfeng Study	Article	2021-08-24	872	1	0	Ming-feng Xia, Hui-ru Tang, Xin Gao	2022-08-27
Defense of COVID-19 by Human Organoids	Review	2021-07-14	2309	1	0	Xinhua Lin, Bing Zhao	2022-08-27
Random Penetrance of Mutations Among Individuals: A New Type of Genetic Drift in Molecular Evolution	Article	2021-06-17	777	1	0	Xun Gu	2022-08-27
Molecular Determinants of Antibiotic Resistance in the Costa Rican Pseudomonas aeruginosa AG1 by a Multi-omics Approach: A Review of 10 Years of Study	Review	2021-06-17	2022	1	2	Jose Arturo Molina-Mora	2022-08-27
Genetic Architecture of Childhood Kidney and Urological Diseases in China	Article	2021-07-15	1088	5	0	Jia Rao, Hong Xu	2022-08-27
Effect of Light on Cognitive Function During a Stroop Task Using Functional Near-Infrared Spectroscopy	Article	2021-04-19	1744	1	2	Wei Chen	2022-08-27
Distribution Atlas of COVID-19 Pneumonia on Computed Tomography: A Deep Learning Based Description	Article	2021-05-11	1444	2	1	Shenghong Ju	2022-08-27
Comparison of Metabolic Profiling of Arabidopsis Inflorescences Between Landsberg erecta and Columbia, and Meiosis-Defective Mutants by 1H-NMR Spectroscopy	Article	2021-05-11	1186	0	0	Limin Zhang, Yingxiang Wang	2022-08-27
High-Throughput Phenotyping: A Platform to Accelerate Crop Improvement	Review	2021-05-11	2558	7	1	Neelam R. Yadav	2022-08-27
Welcome to the Phenomics Journal	Editorial	2021-01-11	3681	1	5	Li Jin	2022-08-27
Using Composite Phenotypes to Reveal Hidden Physiological Heterogeneity in High-Altitude Acclimatization in a Chinese Han Longitudinal Cohort	Article	2021-02-22	3754	3	7	Jiucun Wang, Li Jin	2022-08-27
The Ultrafast and Accurate Mapping Algorithm FANSe3: Mapping a Human Whole-Genome Sequencing Dataset Within 30 Minutes	Article	2021-02-22	2678	5	7	Gong Zhang, Jingjie Jin	2022-08-27
In Situ Saturating Mutagenesis Screening Identifies a Functional Genomic Locus that Regulates Ucp1 Expression	Correspondence	2021-02-22	1739	2	0	Qiurong Ding	2022-08-27
