,,Number,Manuscript.Number,Article.Title,Author.Name,Article.Type,Current.Status,Decision,Status.Date,Initial.Date.Submitted,Country,Institution of the First Corresponding Author,is Fudan,is invited,Issue,is online
,,96,PNMC-D-22-00014R3,Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-aged and Elderly Chinese,Xu Lin (CHINA),Article,Final Decision Accept,,23-Apr-22,21-Feb-22,CHINA,Shanghai Institutes of Nutrition and Health CAS: Chinese Academy of Sciences,0,Y,,1
,,95,PNMC-D-22-00013R6,International Nuclear Medicine Consensus on the Clinical Use of Amyloid Positron Emission Tomography in Alzheimer¡¯s Disease,Hong Zhang (CHINA),Article,Final Decision Accept,,25-Jul-22,21-Feb-22,CHINA,The Second Affiliated Hospital of Zhejiang University School of Medicine,0,N,,
,,94,PNMC-D-22-00012R3,High-resolution and multidimensional phenotypes can complement genomics data to diagnose diseases in the neonatal population,Wenhao Zhou (CHINA),Review,Revise,Accept but needs final editing,17-Jul-22,18-Feb-22,CHINA,Children's Hospital of Fudan University,1,N,,
,,93,PNMC-D-22-00011R1,"Forthcoming developments in models to study hepatitis B virus replication cycle, pathogenesis and pharmacological advancements",Syed Naqui Ahmad Kazim (INDIA),Review,Final Decision Reject,,1-Jun-22,14-Feb-22,INDIA,Jamia Millia Islamia Central University,0,N,,
,,92,PNMC-D-22-00010R2,Cross-sectional exploration of the relationship between glutamate abnormalities and tic disorder severity using proton magnetic resonance spectroscopy,Min Wu (CHINA),Article,Final Decision Accept,,19-May-22,12-Feb-22,CHINA,Shanghai Jiao Tong University School of Medicine,0,Y,,
,,91,PNMC-D-22-00009R2,A hashing-based framework for enhancing cluster delineation of high dimensional single-cell profiles,Xianting Ding (CHINA),Article,Final Decision Accept,,15-Apr-22,9-Feb-22,CHINA,Shanghai Jiao Tong University,0,Y,,1
,,90,PNMC-D-22-00008R3,Clinical profiles at the time of diagnosis of SARS-CoV-2 infection in Costa Rica during the pre-vaccination period using a machine learning approach,Jose Arturo Molina-Mora (COSTA RICA),Article,Final Decision Accept,,28-Apr-22,7-Feb-22,COSTA RICA,University of Costa Rica Faculty of Microbiology,0,N,,1
,,89,PNMC-D-22-00007R2,Management of Intraductal Papilloma of the Breast Diagnosed on Core Needle Biopsy: Latest Controversies,Siyuan Tu (CHINA),Review,Under Review,Major revisions,30-Jul-22,25-Jan-22,CHINA,Shanghai University of Traditional Chinese Medicine,0,N,,
,,88,PNMC-D-22-00006,Chromosome breaks in breast cancers occur near herpes tumor virus sequences and explain why the cancer comes back,Bernard Friedenson (UNITED STATES),Article,Revise,Major revisions,1-Jun-22,23-Jan-22,UNITED STATES,UIC: University of Illinois at Chicago,0,N,,
,,87,PNMC-D-22-00005R3,Metabolic molecular diagnosis of inflammatory bowel disease by synergistical promotion of layered titania nanosheets with graphitized carbon,Chunhui Deng (CHINA),Article,Final Decision Accept,,15-Apr-22,19-Jan-22,CHINA,Fudan University,1,Y,,1
,,86,PNMC-D-22-00004R4,Low concordance between blood pressures measured in periodic health examinations and in a workplace-based hypertension management program,An Pan (CHINA),Article,Final Decision Accept,,22-Jul-22,15-Jan-22,CHINA,Huazhong University of Science and Technology Tongji Medical College,0,Y,,
,,85,PNMC-D-22-00003R7,Human genetic variants associated with COVID-19 severity are enriched in immune and epithelium regulatory networks,Yong Wang (CHINA),Article,Final Decision Accept,,12-Jul-22,12-Jan-22,CHINA,Chinese Academy of Sciences,0,Y,,
,,84,PNMC-D-22-00002R1,Identification of  key factors in the progression of osteoarthritis using a non-targeted metabolomics strategy,Minghui Chen (CHINA),Article,Revise,Major revisions,27-Jun-22,10-Jan-22,CHINA,Shanghai Tenth People's Hospital,0,Y,,
,,83,PNMC-D-22-00001R1,The placenta in gestational diabetes mellitus: The hub for metabolic disturbance in mother and offspring,Jianping Weng (CHINA),Review,Revise,Major revisions,27-Jun-22,5-Jan-22,CHINA,University of Science and Technology of China,0,Y,,
,,82,PNMC-D-21-00066,Applications of Plants Leaf Biosorbents for Elimination of Iron and Phosphorus from contaminated Water: A Review,Subhashish Dey (INDIA),Review,Final Decision Reject,,17-Mar-22,29-Dec-21,INDIA,Gudlavalleru Engineering College Department of Civil Engineering,0,N,,
,,81,PNMC-D-21-00065R1,MPA: A standardized atlas for the Mycobacteriaceae phenome based on heterogeneous sources,Guoqing Zhang (CHINA),Article,Under Review,Major revisions,1-Aug-22,28-Dec-21,CHINA,Shanghai Institutes of Nutrition and Health CAS: Chinese Academy of Sciences,0,Y,,
,,79,PNMC-D-21-00064R3,Multi-Omics A nalysis of young Portulaca oleracea L . plants¡¯ responses to high NaCl doses reveal insights on pathways and genes responsive to salinity stress in this halophyte species,Manoel Teixeira Souza Jr (BRAZIL),Article,Final Decision Accept,,7-May-22,27-Dec-21,BRAZIL,Embrapa - Brazilian Agricultural Research Corporation,0,N,,1
,,80,PNMC-D-21-00063R3,Identification of Germline Mutations in East-Asian Young Never Smokers with Lung Adenocarcinoma by Whole Exome Sequencing,Yang Zhang (CHINA),Article,Final Decision Accept,,4-May-22,27-Dec-21,CHINA,Fudan University Shanghai Cancer Center,1,Y,,
,,77,PNMC-D-21-00062,Phenomic Imaging,Mei Tian (CHINA),Article,Final Decision Reject,,22-Jan-22,22-Dec-21,CHINA,Fudan University,1,Y,,
,,78,PNMC-D-21-00061R1,Research Progress of Magnetic Micro-nano Robots for Biomedical Applications,Jian YANG (CHINA),Review,Incomplete,Minor revisions,15-May-22,23-Dec-21,CHINA,Zhejiang University,0,Y,,
,,76,PNMC-D-21-00060R2,Nascent proteome and glycoproteome reveal the inhibition role of ALG1 in hepatocellular carcinoma cell migration,Haojie Lu (CHINA),Article,Final Decision Accept,,22-Mar-22,12-Dec-21,CHINA,Fudan University,1,Y,,1
,,75,PNMC-D-21-00059,Reduced usage of GLS intronic polyadenylation promotes cellular senescence,Ting Ni (CHINA),Article,Revise,Minor revisions,4-Jan-22,6-Dec-21,CHINA,Fudan University,1,Y,,
,,74,PNMC-D-21-00058R2,Deep Clinical Phenotyping of Parkinson¡¯s Disease: Towards a New Era of Research and Clinical Care,Jian Wang (CHINA),Review,Final Decision Accept,,28-Mar-22,24-Nov-21,CHINA,Huashan Hospital Fudan University,1,Y,,1
,,73,PNMC-D-21-00057R4,Increased soluble epoxide hydrolase activity positively correlates with mortality in heart failure patients with preserved ejection fraction: evidence from metabolomics,Liyuan Peng (CHINA),Article,Final Decision Accept,,2-Aug-22,4-Nov-21,CHINA,Huazhong University of Science and Technology Tongji Medical College,0,Y,,
,,72,PNMC-D-21-00056R4,Biomarkers and disease trajectories influencing women's health: results from the UK Biobank cohort,Haomin Yang (CHINA),Article,Final Decision Accept,,15-Apr-22,3-Nov-21,CHINA,Fujian Medical University,0,Y,"2022,3",1
,,71,PNMC-D-21-00055R4,Causal Association of Cardiac Function by Magnetic Resonance Imaging with Frailty Index -A Mendelian Randomization Study,Xiaofeng Wang (CHINA),Article,Editor Assigned,Accept but needs final editing,1-Aug-22,13-Oct-21,CHINA,Fudan University,1,Y,,
,,69,PNMC-D-21-00054R2,Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning,Guangtao Zhai (CHINA),Article,Final Decision Accept,,10-Jan-22,11-Oct-21,CHINA,Shanghai Jiao Tong University,0,Y,,1
,,70,PNMC-D-21-00053R3,"Unraveling the dynamic integration of auxin, brassinosteroid and gibberellin in early shade-induced hypocotyl elongation",Lin Li (CHINA),Article,Final Decision Accept,,12-May-22,12-Oct-21,CHINA,Fudan University,1,N,"2022,2",1
,,68,PNMC-D-21-00052R3,Large-scale proteomics data reveal integrated prognosis-related protein signatures and role of SMAD4 and RAD50 in prognosis and immune infiltrations of prostate cancer microenvironment,Ding-Wei Ye (CHINA),Article,Editor Assigned,Accept but needs final editing,30-Jul-22,1-Oct-21,CHINA,Fudan University Shanghai Cancer Center,1,Y,,
,,67,PNMC-D-21-00051,Evaluation of status of post-recovery patients with COVID-19 infections in Kurdistan region-Iraq,Mukhtar Ahmed (UNITED KINGDOM),Article,Final Decision Reject,,23-Nov-21,29-Sep-21,UNITED KINGDOM,Ulster University,0,N,,
,,66,PNMC-D-21-00050R3,Why Do We Care More About Disease than Health?,Martin Picard (UNITED STATES),Commentary,Final Decision Accept,,3-Dec-21,5-Sep-21,UNITED STATES,Columbia University Medical Center,0,N,"2022,3",1
,,64,PNMC-D-21-00049R2,Increased Expression of TRIB3 Predicts Poor Prognosis and Correlates with Tumor Immunity in clear cell renal cell carcinoma: A Bioinformatics Study,Xin-Qiang Wu (CHINA),Review,Final Decision Accept,,1-Dec-21,1-Sep-21,CHINA,Fudan University,1,Y,,
,,65,PNMC-D-21-00048,Recent Advances in Understanding of Alzheimer¡¯s Disease Progression through Mass Spectrometry-Based Metabolomics,Lingjun Li (UNITED STATES),Article,Submission Transferred,,3-Dec-21,2-Sep-21,UNITED STATES,University of Wisconsin-Madison,0,Y,"2022,1",1
,,62,PNMC-D-21-00047R4,Green Autofluorescence of the Index Fingernails of Human Subjects is a Novel and Significant Phenomic Parameter for Non-Invasive and Rapid Determinations of the Status of Tobacco Smoking,Weihai Ying (CHINA),Review,Final Decision Accept,,4-May-22,28-Aug-21,CHINA,Shanghai Jiao Tong University,0,Y,,
,,60,PNMC-D-21-00046R2,Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma,Hong Zhang (CHINA),Article,Final Decision Reject,,24-Feb-22,22-Aug-21,CHINA,The Second Affiliated Hospital of Zhejiang University School of Medicine,0,Y,"2022,2",1
,,63,PNMC-D-21-00045R4,Mitochondria as the essence of Yang Qi in the human body,Junjie Luo (CHINA),Article,Final Decision Accept,,31-Jan-22,29-Aug-21,CHINA,China Agricultural University,0,Y,,1
,,59,PNMC-D-21-00044R2,A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic,Feng Jiang (CHINA),Review,Final Decision Accept,,22-Dec-21,21-Aug-21,CHINA,Obstetrics and Gynecology Hospital of Fudan University,1,Y,"2022,2",1
,,61,PNMC-D-21-00043R3,Basic phenotyping of male fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University,Feng Jiang (CHINA),Article,Final Decision Accept,,20-Jan-22,27-Aug-21,CHINA,Obstetrics and Gynecology Hospital of Fudan University,1,Y,"2022,3",1
,,58,PNMC-D-21-00042R3,A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping,Karansher Sandhu (UNITED STATES),Review,Final Decision Accept,,11-Feb-22,17-Aug-21,UNITED STATES,Washington State University,0,N,"2022,3",1
,,57,PNMC-D-21-00041R2,Emerging Regulatory Mechanisms of N6-methyladenosine Modification in Cancer Metastasis,Qin Lun-Xiu (CHINA),Review,Final Decision Accept,,27-Dec-21,15-Aug-21,CHINA,Huashan Hospital Fudan University,1,Y,,1
,,56,PNMC-D-21-00040R3,Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker,Jixi Li (CHINA),Article,Final Decision Accept,,1-Nov-21,12-Aug-21,CHINA,Fudan University,1,Y,"2022,1",1
,,55,PNMC-D-21-00039R3,Measurement of Cerebral Oxygen Extraction Fraction (OEF) Using Quantitative BOLD approach: A Review,He Wang (CHINA),Review,Revise,Minor revisions,1-Aug-22,11-Aug-21,CHINA,Fudan University,1,Y,,
,,54,PNMC-D-21-00038R3,Infrared imageries of human body activated by teas indicate the existence of meridian system,Hui Li (CHINA),Article,Under Review,Major revisions,1-Aug-22,5-Aug-21,CHINA,Fudan University,1,Y,,
,,53,PNMC-D-21-00037R2,Immunosuppression induced by brain-specific HDAC6 knockdown improves aging performance in Drosophila melanogaster,WEI YU (CHINA),Article,Final Decision Accept,,20-Jan-22,1-Aug-21,CHINA,Fudan University,1,Y,"2022,3",1
,,52,PNMC-D-21-00036R2,Global quantitative proteomics analysis reveals the downstream signaling networks of Msx1 and Msx2 in myoblast differentiation,Yenan Yang (CHINA),Article,Final Decision Accept,,12-Feb-22,28-Jul-21,CHINA,Fudan University,1,N,"2022,3",1
,,50,PNMC-D-21-00035R1,"Chinese Medicine Phenomics (Chinmedphenomics)-------Personalized, Precise and Promising",Chunchun Yuan (CHINA),Review,Under Review,Major revisions,1-Aug-22,26-Jul-21,CHINA,Shanghai University of Traditional Chinese Medicine,0,Y,,
,,51,PNMC-D-21-00034R5,"Diets, Gut Microbiota and Metabolites",Shangyu Hong (CHINA),Review,Incomplete,Minor revisions,1-Aug-22,27-Jul-21,CHINA,Fudan University,1,Y,,
,,49,PNMC-D-21-00033R2,Phenome-wide association analysis reveals novel links between genetically determined levels of liver enzymes and disease phenotypes,Xingdong Chen (CHINA),Article,Final Decision Accept,,16-Oct-21,12-Jul-21,CHINA,Fudan University,1,Y,,1
,,48,PNMC-D-21-00032R2,Optical imaging  of epigenetic modifications in cancer: A systematic review,Jie Tian (CHINA),Review,Final Decision Accept,,17-Dec-21,10-Jul-21,CHINA,Chinese Academy of Sciences Institute of Automation,0,Y,"2022,2",1
,,47,PNMC-D-21-00031R5,Causal effect of genetically determined blood copper concentrations on multiple diseases: A Mendelian randomization and phenome-wide association study,xiaobo yang (CHINA),Article,Final Decision Accept,,7-Apr-22,27-Jun-21,CHINA,Guangxi Medical University,0,N,,1
,,46,PNMC-D-21-00030R6,Seasonality and Sex-biased Fluctuation of Birth Weight in Tibetan Populations,Bing Su (CHINA),Article,Final Decision Accept,,6-Dec-21,21-Jun-21,CHINA,Kunming Institute of Zoology Chinese Academy of Sciences,0,Y,"2022,1",1
,,45,PNMC-D-21-00029R3,Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification,Hongming Shan (CHINA),Article,Final Decision Accept,,14-Sep-21,8-Jun-21,CHINA,Fudan University,1,Y,"2021,6",1
,,43,PNMC-D-21-00028R2,Pseudotime Ordering Single-cell Transcriptomic of ¦Â Cells Pancreatic Islets in Health and Type 2 Diabetes,Tiemin Liu (CHINA),Review,Final Decision Accept,,13-Oct-21,1-Jun-21,CHINA,Fudan University,1,Y,"2021,5",1
,,42,PNMC-D-21-00027R4,Systematic genome-wide profiles reveal alternative splicing landscape and implications of splicing regulator DExD-box helicase 21 in aggressive progression of adrenocortical carcinoma,Ding-Wei Ye (CHINA),Article,Final Decision Accept,,27-Aug-21,31-May-21,CHINA,Fudan University Shanghai Cancer Center,1,Y,"2021,6",1
,,44,PNMC-D-21-00026R4,Recent Progresses in Electrochemical DNA Biosensors for MicroRNA detection,Xianting Ding (CHINA),Article,Final Decision Accept,,20-Sep-21,1-Jun-21,CHINA,Shanghai Jiao Tong University,0,Y,"2022,1",1
,,41,PNMC-D-21-00025,Integrative identification by Hi-C revealed distinct advanced structural variations in Lung Adenocarcinoma tissue,Tingting Song (CHINA),Article,Revise,Major revisions,3-Aug-21,16-May-21,CHINA,Sichuan University West China Hospital,0,Y,,
,,40,PNMC-D-21-00024R1,Unsupervised machine learning clustering approaches reveal distinct spatial and temporal differences in the early diversification of SARS-COV-2,Lei Zhang (CHINA),Article,Final Decision Reject,,23-Sep-21,13-May-21,CHINA,Xi'an Jiaotong University,0,N,,
,,39,PNMC-D-21-00023,Silicon in the Universe: It would be possible that silicon form part of some other life type?.,Gonz¨¢lez Pilar (SPAIN),Review,Final Decision Reject,,18-Sep-21,10-May-21,SPAIN,UCM: Universidad Complutense de Madrid,0,N,,
,,38,PNMC-D-21-00022R4,Diurnal Circadian Lighting Accumulation Model: A Predictor of the Human Circadian Phase Shift Phenotype,Yandan Lin (CHINA),Article,Final Decision Accept,,10-Dec-21,10-May-21,CHINA,Fudan University,1,Y,"2022,1",1
,,37,PNMC-D-21-00021R4,Phenotypes of Cardiovascular Diseases Current status and Future Perspectives,Jiangping Song (CHINA),Review,Final Decision Accept,,16-Aug-21,28-Apr-21,CHINA,Fuwai Hospital,0,Y,"2021,5",1
,,35,PNMC-D-21-00020R4,Molecular Phenomic Approaches to Deconvolving the Systemic Effects of SARS-CoV-2 Infection and Post-Acute COVID-19 Syndrome,Jeremy Kirk Nicholson (AUSTRALIA),Article,Final Decision Accept,,9-Apr-22,16-Apr-21,AUSTRALIA,Murdoch University Faculty of Health Sciences,0,Y,"2021,4",1
,,36,PNMC-D-21-00019R1,Three Novel Mutations of Microphthalmos Identified in Two Chinese Families,Tianyu Zheng (CHINA),Review,Final Decision Accept,,17-Jun-21,20-Apr-21,CHINA,Fudan University Eye Ear Nose and Throat Hospital,1,Y,,1
,,33,PNMC-D-21-00018R1,Defense of COVID-19 by Human Organoids,Bing Zhao (CHINA),Review,Under Review,Major revisions,28-Jul-22,28-Mar-21,CHINA,Fudan University,1,Y,"2021,3",1
,,32,PNMC-D-21-00017R2,CYP2C9*3 Increases the Ibuprofen Response of Hemodynamically Significant Patent Ductus Arteriosus in the Infants with Gestational Age of More Than 30 Weeks,Wenhao Zhou (CHINA),Review,Final Decision Accept,,11-May-21,27-Mar-21,CHINA,Children's Hospital of Fudan University,1,Y,"2022,1",1
,,31,PNMC-D-21-00016R5,"A study of antimicrobial activities of aqueous and ethanolic extract of bee pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis",Kasim Roba Jilo (ETHIOPIA),Article,Final Decision Accept,,1-Oct-21,26-Mar-21,ETHIOPIA,Oromia agricultural research institute,0,N,,
,,29,PNMC-D-21-00015,Mapping Cell Phenomics with Multiparametric Flow Cytometry Assay,jing wang (CHINA),Article,Final Decision Reject,,29-Mar-21,18-Mar-21,CHINA,National Institute of Metrology,0,Y,,1
,,30,PNMC-D-21-00014R4,Mental Calculation Drives Reliable and Weak Distant Connectivity While Music Listening Induces Dense Local Connectivity,Yuguo Yu (CHINA),Article,Final Decision Accept,,29-Sep-21,19-Mar-21,CHINA,Fudan University,1,Y,"2021,6",1
,,34,PNMC-D-21-00013R4,Phenomic Studies on Diseases: Potential and Challenges,Weihai Ying (CHINA),Review,Final Decision Accept,,13-Oct-21,7-Apr-21,CHINA,Shanghai Jiao Tong University,0,Y,,
,,26,PNMC-D-21-00012,Computational methods for prediction of human protein-phenotype associations: a review,Shanfeng Zhu (CHINA),Article,Final Decision Reject,,16-Mar-21,22-Feb-21,CHINA,Fudan University,1,Y,"2021,4",1
,,27,PNMC-D-21-00011,Applications of solid waste biosorbents for removal of nitrates from contaminated water,Subhashish Dey (INDIA),Article,Final Decision Reject,,16-Mar-21,23-Feb-21,INDIA,Gudlavalleru Engineering College Department of Civil Engineering,0,N,,
,,28,PNMC-D-21-00010R2,"Identification and evaluation of Croton macrostachyus honeys ¡®antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis",Kasim Roba Jilo (ETHIOPIA),Review,Final Decision Accept,,17-Jun-21,23-Feb-21,ETHIOPIA,Oromia agricultural research institute,0,N,,
,,25,PNMC-D-21-00009R2,Recommendation for Cardiac Magnetic Resonance Imaging-based Phenotypic Study: Imaging Part,Chengyan Wang (CHINA),Review,Final Decision Accept,,25-May-21,13-Feb-21,CHINA,Fudan University,1,Y,"2021,4",1
,,24,PNMC-D-21-00008R4,Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts,Yi Lu (CHINA),Article,Final Decision Accept,,17-Dec-21,9-Feb-21,CHINA,Fudan University Eye Ear Nose and Throat Hospital,1,Y,"2022,2",1
,,23,PNMC-D-21-00007R4,Beyond Mendelian inheritance: genetic buffering and phenotype variability,Andrea Rossi (GERMANY),Review,Final Decision Accept,,8-Oct-21,5-Feb-21,GERMANY,Leibniz-Institut fur umwelt,0,Y,"2022,2",1
,,21,PNMC-D-21-00006R2,Origin and spread of the ALDH2 Glu504Lys allele,Aijun Sun (CHINA),Review,Final Decision Accept,,11-May-21,26-Jan-21,CHINA,Zhongshan Hospital Fudan University,1,Y,"2021,5",1
