"","Manuscript.Number","Author.Name","Article.Title","Article.Type","Current.Status","Status.Date","Initial.Date.Submitted","Review.Status","DOI","Short.Title","Keywords","Reviewers","Handling.Editor","Assigned.Editors","Country","is_China","Institute"
"114","PNMC-D-21-00006R2","Jose Arturo Molina-Mora (COSTA RICA)","Molecular determinants of antibiotic resistance in the Costa Rican Pseudomonas aeruginosa AG1 by a multi-omics approach: a review of ten years of study","Review","Final Decision Accept","11 May 2021","26 Jan 2021","",NA,"","","Chen Suo ; Ying Yu ; Chen Suo ; Ying Yu","Sankari Gireesa","Chen Ding","COSTA RICA","Overseas","Overseas"
"112","PNMC-D-21-00007R4","Andrea Rossi (GERMANY)","Beyond Mendelian inheritance: genetic buffering and phenotype variability","Review","Final Decision Accept","08 Oct 2021","05 Feb 2021","",NA,"","","Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni","Sankari Gireesa","Chen Ding","GERMANY","Overseas","Overseas"
"111","PNMC-D-21-00008R4","Yi Lu (CHINA)","Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts","Article","Final Decision Accept","17 Dec 2021","09 Feb 2021","",NA,"","","Dawei Luo ; Panfeng Wang, Ph.D., M.D. ; Dawei Luo ; Mingxing Wu ; Dawei Luo ; Mingxing Wu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"110","PNMC-D-21-00009R2","Chengyan Wang (CHINA)","Recommendation for Cardiac Magnetic Resonance Imaging-based Phenotypic Study: Imaging Part","Review","Final Decision Accept","25 May 2021","13 Feb 2021","",NA,"","","Wenjian Huang ; Shuo Wang ; Wenjian Huang ; Shuo Wang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"107","PNMC-D-21-00010R2","Shanfeng Zhu (CHINA)","Computational methods for prediction of human protein-phenotype associations: a review","Review","Final Decision Accept","17 Jun 2021","23 Feb 2021","",NA,"","","Han Renmin ; Nan Shen ; Han Renmin ; Nan Shen","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"108","PNMC-D-21-00011","Subhashish Dey (INDIA)","Applications of solid waste biosorbents for removal of nitrates from contaminated water","Article","Final Decision Reject","16 Mar 2021","23 Feb 2021","",NA,"","","","Sankari Gireesa","Chen Ding","INDIA","Overseas","Overseas"
"109","PNMC-D-21-00012","Kasim Roba Jilo (ETHIOPIA)","Identification and evaluation of Croton macrostachyus honeys ‘antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis","Article","Final Decision Reject","16 Mar 2021","22 Feb 2021","",NA,"","","","Sankari Gireesa","Chen Ding","ETHIOPIA","Overseas","Overseas"
"101","PNMC-D-21-00013R4","jing wang (CHINA)","Mapping Cell Phenomics with Multiparametric Flow Cytometry Assay","Review","Final Decision Accept","13 Oct 2021","07 Apr 2021","",NA,"","","Feng Qian ; Pengyuan Yang ; Feng Qian ; Pengyuan Yang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"105","PNMC-D-21-00014R4","Yuguo Yu (CHINA)","Mental Calculation Drives Reliable and Weak Distant Connectivity While Music Listening Induces Dense Local Connectivity","Article","Final Decision Accept","29 Sep 2021","19 Mar 2021","",NA,"","","Chengyan Wang ; Peng Xu ; Chengyan Wang ; Peng Xu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"106","PNMC-D-21-00015","Kasim Roba Jilo (ETHIOPIA)","A study of antimicrobial activities of aqueous and ethanolic extract of bee pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis","Article","Final Decision Reject","29 Mar 2021","18 Mar 2021","",NA,"","","","Sankari Gireesa","Chen Ding","ETHIOPIA","Overseas","Overseas"
"104","PNMC-D-21-00016R5","Wenhao Zhou (CHINA)","CYP2C9*3 Increases the Ibuprofen Response of Hemodynamically Significant Patent Ductus Arteriosus in the Infants with Gestational Age of More Than 30 Weeks","Article","Final Decision Accept","01 Oct 2021","26 Mar 2021","",NA,"","","Haijian Wang ; Feng Zhang ; Xiaoping Luo ; Feng Zhang ; Xiaoping Luo ; Feng Zhang ; Xiaoping Luo ; Feng Zhang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"103","PNMC-D-21-00017R2","Bing Zhao (CHINA)","Defense of COVID-19 by Human Organoids","Review","Final Decision Accept","11 May 2021","27 Mar 2021","",NA,"","","Huili Hu ; Ming Jiang ; Huili Hu ; Ming Jiang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"102","PNMC-D-21-00018R2","Weihai Ying (CHINA)","Phenomic Studies on Diseases: Potential and Challenges","Review","Revise","24 Sep 2022","28 Mar 2021","3 Complete; 0 Partial Review Saved; 7 Declined",NA,"","","Jianpeng Ma ; Kai Ye ; Jianpeng Ma ; Tao Zeng ; Enrico Capobianco * ; Jianpeng Ma * ; Tao Zeng *","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"99","PNMC-D-21-00019R1","Jeremy Kirk Nicholson (AUSTRALIA)","Molecular Phenomic Approaches to Deconvolving the Systemic Effects of SARS-CoV-2 Infection and Post-Acute COVID-19 Syndrome","Review","Final Decision Accept","17 Jun 2021","20 Apr 2021","1 Complete; 0 Partial Review Saved",NA,"","","Huiru Tang ; Huiru Tang *","Sankari Gireesa","Chen Ding","AUSTRALIA","Overseas","Overseas"
"100","PNMC-D-21-00020R4","Tianyu Zheng (CHINA)","Three Novel Mutations of Microphthalmos Identified in Two Chinese Families","Article","Final Decision Accept","09 Apr 2022","16 Apr 2021","",NA,"","","Dawei Luo ; Panfeng Wang, Ph.D., M.D. ; Dawei Luo ; Binxin Xu ; Dawei Luo ; Binxin Xu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"98","PNMC-D-21-00021R4","Jiangping Song (CHINA)","Phenotypes of Cardiovascular Diseases Current status and Future Perspectives","Review","Final Decision Accept","16 Aug 2021","28 Apr 2021","",NA,"","","Damien Smedley ; Aijun Sun ; Damien Smedley ; Aijun Sun","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"97","PNMC-D-21-00022R4","Yandan Lin (CHINA)","Diurnal Circadian Lighting Accumulation Model: A Predictor of the Human Circadian Phase Shift Phenotype","Article","Final Decision Accept","10 Dec 2021","10 May 2021","",NA,"","","Wei Chen ; Mark Rea ; Wei Chen ; Mark Rea ; Wei Chen ; Mark Rea ; Kaida Xiao ; Wei Chen ; Mark Rea ; Kaida Xiao","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"96","PNMC-D-21-00023","González Pilar (SPAIN)","Silicon in the Universe: It would be possible that silicon form part of some other life type?.","Review","Final Decision Reject","18 Sep 2021","10 May 2021","1 Complete; 0 Partial Review Saved; 7 Declined",NA,"","","Qi Zhang *","Sankari Gireesa","Chen Ding","SPAIN","Overseas","Overseas"
"95","PNMC-D-21-00024R1","Lei Zhang (CHINA)","Unsupervised machine learning clustering approaches reveal distinct spatial and temporal differences in the early diversification of SARS-COV-2","Article","Final Decision Reject","23 Sep 2021","13 May 2021","2 Complete; 0 Partial Review Saved; 1 Declined",NA,"","","Yi Wang ; Guoqing Zhang ; Jianqing Xu * ; Guoqing Zhang *","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"94","PNMC-D-21-00025","Tingting Song (CHINA)","Integrative identification by Hi-C revealed distinct advanced structural variations in Lung Adenocarcinoma tissue","Article","Revise","03 Aug 2021","16 May 2021","2 Complete; 0 Partial Review Saved; 3 Declined",NA,"","","Yueqing Hu * ; Ming Jiang *","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"91","PNMC-D-21-00026R4","Ding-Wei Ye (CHINA)","Systematic genome-wide profiles reveal alternative splicing landscape and implications of splicing regulator DExD-box helicase 21 in aggressive progression of adrenocortical carcinoma","Article","Final Decision Accept","20 Sep 2021","01 Jun 2021","",NA,"","","Chen Ding ; Jun Wang ; Chen Ding ; Jun Wang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"93","PNMC-D-21-00027R4","Tiemin Liu (CHINA)","Pseudotime Ordering Single-cell Transcriptomic of β Cells Pancreatic Islets in Health and Type 2 Diabetes","Article","Final Decision Accept","27 Aug 2021","31 May 2021","",NA,"","","Xiaodan Lu ; Bingxiang Xu ; Yingyun Gong ; Xiaodan Lu ; Yingyun Gong ; Xiaodan Lu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"92","PNMC-D-21-00028R2","Xianting Ding (CHINA)","Recent Progresses in Electrochemical DNA Biosensors for MicroRNA detection","Review","Final Decision Accept","13 Oct 2021","01 Jun 2021","",NA,"","","Dahai REN ; Muhammad J. A. Shiddiky ; Muhammad J. A. Shiddiky ; Shiping SONG ; Jian YANG","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"90","PNMC-D-21-00029R3","Hongming Shan (CHINA)","Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification","Article","Final Decision Accept","14 Sep 2021","08 Jun 2021","",NA,"","","Zheng Fang ; Yi Zhang ; Zheng Fang ; Yi Zhang ; Yi Zhang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"89","PNMC-D-21-00030R6","Bing Su (CHINA)","Seasonality and Sex-biased Fluctuation of Birth Weight in Tibetan Populations","Article","Final Decision Accept","06 Dec 2021","21 Jun 2021","",NA,"","","Hui Li ; Shuhua Xu ; Hui Li ; Shuhua Xu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"88","PNMC-D-21-00031R5","xiaobo yang (CHINA)","Causal effect of genetically determined blood copper concentrations on multiple diseases: A Mendelian randomization and phenome-wide association study","Article","Final Decision Accept","07 Apr 2022","27 Jun 2021","",NA,"","","Fashuai Wu ; Yan Zheng ; Yitang Sun ; Yan Zheng ; Yitang Sun ; Yan Zheng ; Yitang Sun ; Yan Zheng","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"87","PNMC-D-21-00032R2","Jie Tian (CHINA)","Optical imaging  of epigenetic modifications in cancer: A systematic review","Review","Final Decision Accept","17 Dec 2021","10 Jul 2021","",NA,"","","Zhen Cheng ; Mei Tian ; Mei Tian ; Chengyan Wang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"86","PNMC-D-21-00033R2","Xingdong Chen (CHINA)","Phenome-wide association analysis reveals novel links between genetically determined levels of liver enzymes and disease phenotypes","Article","Final Decision Accept","16 Oct 2021","12 Jul 2021","",NA,"","","Wei He ; Jiaqi Huang ; Wei He ; Jiaqi Huang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"84","PNMC-D-21-00034R5","Chunchun Yuan (CHINA)","Chinese Medicine Phenomics (Chinmedphenomics)-------Personalized, Precise and Promising","Review","Final Decision Accept","23 Aug 2022","27 Jul 2021","2 Complete; 0 Partial Review Saved",NA,"","","Zhenglong Gu ; Yanping Yang ; Bo Han ; Kaifeng Hu, Ph.D ; Bo Han ; Jingjing Luo ; Bo Han ; Guillermo Lopez Campos ; Bo Han ; Hui Li ; Bo Han * ; Hui Li *","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"85","PNMC-D-21-00035R1","Shangyu Hong (CHINA)","Diets, Gut Microbiota and Metabolites","Review","Revise","03 Sep 2022","26 Jul 2021","2 Complete; 0 Partial Review Saved",NA,"","","Shuang Tang, MD PhD MHSc ; Yan Zheng ; Shuang Tang, MD PhD MHSc * ; Yan Zheng *","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"83","PNMC-D-21-00036R2","Yenan Yang (CHINA)","Global quantitative proteomics analysis reveals the downstream signaling networks of Msx1 and Msx2 in myoblast differentiation","Article","Final Decision Accept","12 Feb 2022","28 Jul 2021","",NA,"","","Ping Hu ; Yuguo Yu ; Jichang Huang ; Yuguo Yu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"82","PNMC-D-21-00037R2","WEI YU (CHINA)","Immunosuppression induced by brain-specific HDAC6 knockdown improves aging performance in Drosophila melanogaster","Article","Final Decision Accept","20 Jan 2022","01 Aug 2021","",NA,"","","Jingsong Li ; Guanghui Liu ; Jingsong Li ; Guanghui Liu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"81","PNMC-D-21-00038R4","Hui Li (CHINA)","Infrared imageries of human body activated by tea match the hypothesis of meridian system","Article","Reviewers Assigned","30 Sep 2022","05 Aug 2021","1 Agreed; 6 Invited - No Response; 2 Declined",NA,"","","Jinglei Guo ; Mengmeng Sun, Ph.D. ; Hui Zhang ; Jing Tang ; Neil Theise ; Joseph O. Erhabor, Ph.D. ; Wen-Guang Jing ; Cheang Khoo ; Joseph O. Erhabor, Ph.D. ; Silvana Nisgoski ; Francisco Alcaraz * ; Nadezhda K. Chirikova * ; Emilie Destandau * ; Arianna di Lorenzo * ; Joseph O. Erhabor, Ph.D. * ; Victor Pozhidaev * ; Yasunari Yoshitomi *","Chen Ding","Chen Ding","CHINA","China","Non-Fudan"
"80","PNMC-D-21-00039R6","He Wang (CHINA)","Measurement of Cerebral Oxygen Extraction Fraction (OEF) Using Quantitative BOLD approach: A Review","Review","Revision Submitted","29 Sep 2022","11 Aug 2021","",NA,"","","Hao Li ; Jie Tian, Ph.D. ; Nicholas Blockley ; Hao Li ; Jeffrey N Stout ; Junghun Cho ; Hao Li ; Stephen J. Payne ; Jeroen C. W. Siero ; Hao Li ; Jeroen C. W. Siero ; Hao Li ; Jeroen C. W. Siero","","","CHINA","China","Non-Fudan"
"79","PNMC-D-21-00040R3","Jixi Li (CHINA)","Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker","Article","Final Decision Accept","01 Nov 2021","12 Aug 2021","",NA,"","","Lunzhi Dai ; Jianyuan Zhao ; Lunzhi Dai ; Jianyuan Zhao","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"78","PNMC-D-21-00041R2","Qin Lun-Xiu (CHINA)","Emerging Regulatory Mechanisms of N6-methyladenosine Modification in Cancer Metastasis","Review","Final Decision Accept","27 Dec 2021","15 Aug 2021","",NA,"","","Zeguang Han ; Xiaoyang Zhang ; Zeguang Han ; Xiaoyang Zhang","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"77","PNMC-D-21-00042R3","Karansher Sandhu (UNITED STATES)","A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping","Review","Final Decision Accept","11 Feb 2022","17 Aug 2021","",NA,"","","Mario Valerio Giuffrida, PhD ; Yingxiang Wang ; Mario Valerio Giuffrida, PhD ; Yingxiang Wang","Sankari Gireesa","Chen Ding","UNITED STATES","Overseas","Overseas"
"74","PNMC-D-21-00043R3","Feng Jiang (CHINA)","A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic","Article","Final Decision Accept","20 Jan 2022","27 Aug 2021","",NA,"","","Mofang Liu ; Fuxi Zhu ; Mofang Liu ; Fuxi Zhu ; Mofang Liu ; Fuxi Zhu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"76","PNMC-D-21-00044R2","Hong Zhang (CHINA)","Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma","Review","Final Decision Accept","22 Dec 2021","21 Aug 2021","",NA,"","","He Wang ; Yafu Yin ; He Wang ; Yafu Yin","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"72","PNMC-D-21-00045R4","Feng Jiang (CHINA)","Basic phenotyping of male fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University","Article","Final Decision Accept","31 Jan 2022","29 Aug 2021","",NA,"","","Xiaolin He ; Mofang Liu ; Xiaolin He ; Mofang Liu","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"75","PNMC-D-21-00046R2","Weihai Ying (CHINA)","Green Autofluorescence of the Index Fingernails of Human Subjects is a Novel and Significant Phenomic Parameter for Non-Invasive and Rapid Determinations of the Status of Tobacco Smoking","Article","Final Decision Reject","24 Feb 2022","22 Aug 2021","3 Complete; 0 Partial Review Saved",NA,"","","Minbiao Ji ; Xunbin Wei ; Chen Chen ; Minbiao Ji ; Xunbin Wei ; Chen Chen * ; Xudong Wang * ; Xunbin Wei *","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"73","PNMC-D-21-00047R4","Junjie Luo (CHINA)","Mitochondria as the essence of Yang Qi in the human body","Review","Final Decision Accept","04 May 2022","28 Aug 2021","",NA,"","","Martin Picard ; Chengping Wen ; Martin Picard ; Chengping Wen ; Martin Picard ; Chengping Wen","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"70","PNMC-D-21-00048","Xin-Qiang Wu (CHINA)","Increased Expression of TRIB3 Predicts Poor Prognosis and Correlates with Tumor Immunity in clear cell renal cell carcinoma: A Bioinformatics Study","Article","Submission Transferred","03 Dec 2021","02 Sep 2021","2 Complete; 0 Partial Review Saved; 8 Declined",NA,"","","Jinwen Feng * ; Quan Zhou *","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
"71","PNMC-D-21-00049R2","Lingjun Li (UNITED STATES)","Recent Advances in Understanding of Alzheimer’s Disease Progression through Mass Spectrometry-Based Metabolomics","Review","Final Decision Accept","01 Dec 2021","01 Sep 2021","",NA,"","","Ling Hao ; Melanie Odenkirk ; Ling Hao ; Melanie Odenkirk","Sankari Gireesa","Chen Ding","UNITED STATES","Overseas","Overseas"
"69","PNMC-D-21-00050R3","Martin Picard (UNITED STATES)","Why Do We Care More About Disease than Health?","Commentary","Final Decision Accept","03 Dec 2021","05 Sep 2021","",NA,"","","Vorasuk Shotelersuk ; Qiang Tian, MD, PhD ; Vorasuk Shotelersuk ; Qiang Tian, MD, PhD ; Vorasuk Shotelersuk ; Qiang Tian, MD, PhD","Sankari Gireesa","Chen Ding","UNITED STATES","Overseas","Overseas"
"68","PNMC-D-21-00051","Mukhtar Ahmed (UNITED KINGDOM)","Evaluation of status of post-recovery patients with COVID-19 infections in Kurdistan region-Iraq","Article","Final Decision Reject","23 Nov 2021","29 Sep 2021","2 Complete; 0 Partial Review Saved; 4 Declined",NA,"","","Yueqing Hu * ; Pengfei Wang *","Sankari Gireesa","Chen Ding","UNITED KINGDOM","Overseas","Overseas"
"67","PNMC-D-21-00052R3","Ding-Wei Ye (CHINA)","Large-scale proteomics data reveal integrated prognosis-related protein signatures and role of SMAD4 and RAD50 in prognosis and immune infiltrations of prostate cancer microenvironment","Article","Final Decision Accept","06 Aug 2022","01 Oct 2021","",NA,"","","Jinwen Feng ; Lei Zhou ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao ; Jinwen Feng ; Jun Wang ; Jianyuan Zhao","Sankari Gireesa","Chen Ding","CHINA","China","Non-Fudan"
